GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
 	Percentile (%)	45.202	39.193	-	33.914	16.035	59.978
exopeptidase activity	FC (WS / NS)	0.01 (14.88 / 14.72)	-0.04 (8.21 / 8.46)	0.03 (10.58 / 10.36)	0.02 (15.39 / 15.2)	-0.55 (-3.8 / -5.11)	0.05 (10.06 / 9.65)
 	Percentile (%)	45.236	58.419	45.204	39.506	85.482	44.876
metallopeptidase activity	FC (WS / NS)	0.01 (14.39 / 14.23)	0.07 (7.97 / 7.57)	0 (10.15 / 10.19)	-0.06 (15.19 / 15.84)	-0.09 (-5.57 / -5.86)	0.02 (9.69 / 9.55)
 	Percentile (%)	45.269	36.972	54.796	58.388	56.121	54.045
inorganic molecular entity transmembrane transporter activity	FC (WS / NS)	0.01 (17.26 / 17.08)	0.03 (11.65 / 11.38)	0.01 (12.56 / 12.47)	-0.05 (19.11 / 19.79)	-2.51 (-0.89 / -0.37)	0.03 (10.45 / 10.23)
 	Percentile (%)	45.336	42.536	50.91	56.79	95.233	51.564
proline-tRNA ligase activity	FC (WS / NS)	0.01 (6.04 / 5.98)	0.07 (6.11 / 5.76)	-	0 (13.5 / 13.51)	-	0.04 (6.32 / 6.11)
 	Percentile (%)	45.403	35.921	-	45.679	-	48.004
arginine-tRNA ligase activity	FC (WS / NS)	0.01 (8.64 / 8.55)	-1.65 (1 / 5.3)	-	0 (13.34 / 13.33)	0.03 (-5.74 / -5.65)	0.01 (7.83 / 7.78)
 	Percentile (%)	45.57	88.608	-	42.992	44.312	56.239
2 iron, 2 sulfur cluster binding	FC (WS / NS)	0.01 (12.13 / 12.01)	-1.49 (1 / 4.61)	-	-0.01 (9.93 / 9.96)	-0.02 (-9.81 / -9.9)	0.01 (7.54 / 7.48)
 	Percentile (%)	45.771	86.554	-	47.204	49.946	55.987
carbohydrate binding	FC (WS / NS)	0.01 (12.6 / 12.49)	-	0.15 (12.47 / 11.16)	-	-0.22 (-6.05 / -6.87)	-
 	Percentile (%)	45.838	-	25.627	-	68.364	-
cation binding	FC (WS / NS)	0.01 (23.21 / 23)	0 (13.33 / 13.34)	0.01 (15.18 / 15.11)	0.04 (24.66 / 24)	0.23 (5.84 / 4.85)	0.01 (13.8 / 13.73)
 	Percentile (%)	45.871	54.836	51.648	34.35	17.768	56.598
pyrophosphatase activity	FC (WS / NS)	0.01 (21.23 / 21.03)	0.05 (13.28 / 12.75)	0.01 (14.14 / 14.02)	0.04 (24 / 23.34)	0.23 (3.26 / 2.64)	0 (12.25 / 12.25)
 	Percentile (%)	45.904	38.715	50.221	33.987	17.226	58.576
phosphate acetyltransferase activity	FC (WS / NS)	0.01 (9.82 / 9.72)	0.02 (7.56 / 7.42)	0.05 (7.61 / 7.31)	-0.02 (12.14 / 12.32)	-0.54 (-3.14 / -4.11)	0.03 (7.76 / 7.61)
 	Percentile (%)	45.938	43.54	40.58	50.835	85.049	52.104
serine-type endopeptidase activity	FC (WS / NS)	0.01 (11.24 / 11.14)	-0.05 (5.75 / 5.97)	-	-0.25 (12.45 / 14.94)	-0.28 (-7.51 / -8.91)	0.01 (8.29 / 8.2)
 	Percentile (%)	46.172	58.897	-	71.097	74.648	54.98
metal ion binding	FC (WS / NS)	0.01 (22.39 / 22.19)	0 (12.86 / 12.89)	0.01 (14.48 / 14.38)	0.04 (24.65 / 23.98)	0.26 (5.01 / 4.01)	0.01 (13.73 / 13.6)
 	Percentile (%)	46.339	55.147	51.156	33.842	13.651	55.484
ATP binding	FC (WS / NS)	0.01 (21.39 / 21.2)	0.09 (10.71 / 10.01)	0.03 (13.25 / 12.98)	-0.01 (25.67 / 25.78)	0.33 (4.53 / 3.4)	0.02 (13.53 / 13.35)
 	Percentile (%)	46.372	34.512	45.253	47.349	10.943	53.937
transporter activity	FC (WS / NS)	0.01 (21.05 / 20.87)	0.02 (13.87 / 13.62)	-	-	-	0.03 (11.41 / 11.19)
 	Percentile (%)	46.64	43.444	-	-	-	51.996
adenyl nucleotide binding	FC (WS / NS)	0.01 (22.99 / 22.8)	0.07 (12.3 / 11.67)	0.02 (14.89 / 14.63)	-0.01 (25.67 / 25.78)	-	0.02 (13.55 / 13.35)
 	Percentile (%)	46.673	36.733	46.09	47.495	-	53.686
drug binding	FC (WS / NS)	0.01 (21.41 / 21.24)	0.03 (10.98 / 10.77)	0.02 (14.41 / 14.21)	-0.01 (25.68 / 25.79)	0.32 (4.58 / 3.46)	0.02 (13.73 / 13.55)
 	Percentile (%)	46.707	43.301	48.205	47.422	11.701	54.081
channel activity	FC (WS / NS)	0.01 (13.3 / 13.2)	-0.05 (9.13 / 9.49)	-0.07 (10.69 / 11.23)	-0.05 (19.11 / 19.77)	-	0.01 (9.79 / 9.7)
 	Percentile (%)	47.175	59.112	61.485	56.5	-	55.52
hydrolase activity	FC (WS / NS)	0.01 (23.11 / 22.95)	0.04 (14.57 / 14.17)	0.01 (15.59 / 15.47)	0.04 (24.02 / 23.39)	0.18 (4.88 / 4.19)	0.02 (13.6 / 13.39)
 	Percentile (%)	47.242	41.509	50.074	34.641	23.727	53.362
zinc ion binding	FC (WS / NS)	0.01 (17.36 / 17.25)	-0.01 (10.32 / 10.37)	0.01 (11.08 / 10.99)	-0.01 (19.87 / 20.01)	-1.66 (-1.59 / -2.85)	0.04 (11.13 / 10.8)
 	Percentile (%)	48.011	55.601	50.369	48.293	94.258	48.328
purine ribonucleotide binding	FC (WS / NS)	0.01 (23.16 / 23.01)	0.07 (12.84 / 12.19)	0.02 (15.01 / 14.79)	0 (26.13 / 26.06)	0.22 (6.03 / 5.03)	0.01 (13.88 / 13.74)
 	Percentile (%)	48.211	36.757	47.959	42.266	18.202	55.304
transaminase activity	FC (WS / NS)	0.01 (13.52 / 13.43)	-0.2 (8.01 / 9.35)	0.06 (8.92 / 8.53)	-0.04 (15.17 / 15.6)	-	0.12 (10.12 / 9.25)
 	Percentile (%)	48.412	64.939	39.203	53.159	-	35.239
purine nucleotide binding	FC (WS / NS)	0.01 (23.93 / 23.79)	0.07 (13.57 / 12.92)	0.02 (15.75 / 15.54)	0 (26.13 / 26.06)	0.2 (6.7 / 5.72)	0.01 (13.89 / 13.74)
 	Percentile (%)	48.579	37.043	48.155	42.411	21.343	55.16
purine ribonucleoside triphosphate binding	FC (WS / NS)	0.01 (22.64 / 22.5)	0.08 (12.11 / 11.37)	-	0 (26.13 / 26.06)	0.24 (5.63 / 4.61)	0.01 (13.88 / 13.74)
 	Percentile (%)	48.613	34.894	-	42.338	16.251	55.34
DNA-dependent ATPase activity	FC (WS / NS)	0.01 (12.91 / 12.84)	0.07 (8.83 / 8.36)	0.09 (8.13 / 7.61)	0.12 (14.82 / 13.51)	-0.2 (-7.2 / -8.12)	0 (8.46 / 8.47)
 	Percentile (%)	48.847	36.04	33.842	20.697	66.306	59.295
ribonucleotide binding	FC (WS / NS)	0.01 (23.68 / 23.56)	0.06 (13.24 / 12.62)	0.01 (15.49 / 15.36)	0 (26.13 / 26.06)	0.21 (6.49 / 5.49)	0.01 (13.89 / 13.8)
 	Percentile (%)	49.147	37.234	49.877	42.484	20.043	56.095
nucleotide binding	FC (WS / NS)	0.01 (24.66 / 24.54)	0.06 (14.1 / 13.51)	0.01 (16.39 / 16.25)	0 (26.15 / 26.07)	0.18 (7.39 / 6.42)	0.01 (14.22 / 14.13)
 	Percentile (%)	49.281	38.285	50.172	42.629	23.51	56.167
nucleoside monophosphate kinase activity	FC (WS / NS)	0.01 (8.13 / 8.09)	0 (7.94 / 7.91)	0.87 (5.55 / 2.58)	-0.12 (13.07 / 14.28)	-	0.08 (8.04 / 7.57)
 	Percentile (%)	49.315	46.644	8.706	64.052	-	39.842
carbohydrate derivative binding	FC (WS / NS)	0.01 (24.78 / 24.66)	0.07 (14.19 / 13.52)	0.01 (15.87 / 15.74)	0 (26.14 / 26.06)	0.17 (7.52 / 6.55)	0.01 (13.94 / 13.85)
 	Percentile (%)	49.348	36.995	50.418	42.556	24.052	56.131
nucleoside phosphate binding	FC (WS / NS)	0.01 (25.13 / 25.01)	0.06 (14.45 / 13.86)	0.01 (16.79 / 16.66)	0 (26.15 / 26.07)	0.17 (7.85 / 6.87)	0.01 (14.22 / 14.13)
 	Percentile (%)	49.448	38.381	50.664	42.702	24.594	56.203
nucleoside binding	FC (WS / NS)	0.01 (23.87 / 23.77)	0.08 (13.25 / 12.48)	0 (8.58 / 8.55)	0.04 (24.27 / 23.56)	0.19 (6.6 / 5.66)	0 (11.78 / 11.8)
 	Percentile (%)	49.549	35.3	52.336	32.752	21.668	59.259
[acyl-carrier-protein] S-malonyltransferase activity	FC (WS / NS)	0.01 (6.55 / 6.52)	0.3 (6.23 / 4.86)	-	-0.14 (9.8 / 10.91)	0.38 (-8.95 / -7.1)	0.02 (6.67 / 6.55)
 	Percentile (%)	49.616	16.742	-	66.304	9.534	52.787
small molecule binding	FC (WS / NS)	0.01 (25.56 / 25.46)	0.05 (14.85 / 14.26)	0.01 (16.73 / 16.64)	0 (26.16 / 26.09)	0.16 (8.29 / 7.33)	0 (14.43 / 14.38)
 	Percentile (%)	49.682	38.5	51.549	42.774	25.894	57.318
serine-tRNA ligase activity	FC (WS / NS)	0 (6.77 / 6.74)	0.02 (6.7 / 6.62)	-	-0.11 (11.36 / 12.32)	-0.13 (-5.32 / -5.73)	0.01 (7.17 / 7.1)
 	Percentile (%)	49.883	44.996	-	62.527	60.13	55.412
transferase activity, transferring alkyl or aryl (other than methyl) groups	FC (WS / NS)	0 (13.26 / 13.21)	0.01 (7.3 / 7.22)	0 (8.59 / 8.61)	-0.11 (13.24 / 14.4)	-0.5 (-3.01 / -3.84)	-0.02 (9.19 / 9.3)
 	Percentile (%)	50.084	45.14	54.452	63.399	84.074	62.316
ion binding	FC (WS / NS)	0 (25.17 / 25.09)	0.02 (14.51 / 14.35)	0.01 (16.62 / 16.55)	0.01 (26.58 / 26.38)	0.16 (7.84 / 6.92)	0 (14.95 / 14.9)
 	Percentile (%)	50.15	44.853	51.845	41.104	25.46	57.21
organic cyclic compound binding	FC (WS / NS)	0 (26.11 / 26.03)	0.02 (15.63 / 15.39)	0 (17.35 / 17.33)	0.01 (26.54 / 26.38)	0.15 (9.52 / 8.47)	0 (15.19 / 15.2)
 	Percentile (%)	50.217	43.898	53.025	41.394	27.194	58.828
heterocyclic compound binding	FC (WS / NS)	0 (26.11 / 26.03)	0.02 (15.63 / 15.39)	0 (17.35 / 17.33)	0.01 (26.54 / 26.38)	0.15 (9.52 / 8.47)	0 (15.19 / 15.2)
 	Percentile (%)	50.251	43.922	52.976	41.467	27.302	58.864
molecular transducer activity	FC (WS / NS)	0 (13.95 / 13.9)	-0.66 (5.29 / 8.94)	-	-	-0.16 (-5.15 / -5.65)	-0.01 (7.32 / 7.38)
 	Percentile (%)	50.485	74.779	-	-	63.055	61.489
transition metal ion binding	FC (WS / NS)	0 (20.18 / 20.12)	-0.02 (11.67 / 11.89)	-0.01 (12.15 / 12.25)	-0.01 (20.29 / 20.51)	0.42 (2.91 / 1.92)	0 (12.02 / 11.99)
 	Percentile (%)	50.518	57.081	55.73	50.036	8.342	57.893
transferase activity	FC (WS / NS)	0 (22.55 / 22.49)	-0.02 (14.03 / 14.25)	0 (14.92 / 14.93)	0 (21.8 / 21.86)	0.17 (5 / 4.34)	0.01 (13.98 / 13.83)
 	Percentile (%)	50.652	56.795	53.91	46.623	24.269	55.124
binding	FC (WS / NS)	0 (27.22 / 27.16)	0.01 (16.5 / 16.33)	0 (18.56 / 18.52)	0.01 (26.91 / 26.66)	0.14 (10.56 / 9.53)	0 (15.79 / 15.79)
 	Percentile (%)	50.685	45.283	52.878	40.45	28.819	58.504
ligase activity	FC (WS / NS)	0 (19.13 / 19.09)	0 (12.89 / 12.92)	0.03 (13.07 / 12.82)	-0.04 (17.22 / 17.72)	0.77 (1.38 / 0.4)	0.03 (12.37 / 12.09)
 	Percentile (%)	50.853	55.195	45.598	53.304	4.117	50.557
racemase and epimerase activity, acting on carbohydrates and derivatives	FC (WS / NS)	0 (11.21 / 11.19)	0.22 (7.29 / 6.13)	-	-0.07 (11.09 / 11.7)	-0.13 (-5.83 / -6.27)	0.09 (7.73 / 7.22)
 	Percentile (%)	51.421	19.346	-	59.477	59.263	38.188
signaling receptor activity	FC (WS / NS)	0 (9.68 / 9.67)	-2.2 (1 / 8.2)	-	-0.05 (10.13 / 10.52)	0.06 (-10.25 / -9.86)	0.01 (6.98 / 6.92)
 	Percentile (%)	51.555	92.238	-	57.226	39.87	55.699
catalytic activity	FC (WS / NS)	0 (25.74 / 25.72)	0 (16.26 / 16.25)	0 (17.39 / 17.44)	0.03 (24.56 / 24.11)	0.12 (8.38 / 7.62)	0.01 (15.79 / 15.71)
 	Percentile (%)	51.722	47.194	54.501	37.836	32.069	56.526
transferase activity, transferring one-carbon groups	FC (WS / NS)	0 (16.41 / 16.4)	0.14 (9.79 / 8.81)	0.04 (10.59 / 10.31)	-0.06 (14.01 / 14.69)	-0.12 (-1.48 / -1.53)	0.03 (10.48 / 10.24)
 	Percentile (%)	51.789	32.29	44.073	58.896	59.047	50.485
S-acyltransferase activity	FC (WS / NS)	0 (9.31 / 9.31)	0.16 (8.06 / 7.11)	-	-	-	0 (6.94 / 6.92)
 	Percentile (%)	51.989	20.731	-	-	-	57.138
amide binding	FC (WS / NS)	0 (10.9 / 10.9)	-0.43 (4.58 / 6.52)	-0.09 (8.67 / 9.33)	0.01 (11.52 / 11.45)	-	0.04 (8.2 / 7.96)
 	Percentile (%)	52.056	70.791	65.027	41.322	-	48.292
anion binding	FC (WS / NS)	0 (23.62 / 23.62)	0.04 (13 / 12.57)	0 (15.33 / 15.29)	0 (26.14 / 26.07)	0.19 (6.37 / 5.46)	0 (14.14 / 14.14)
 	Percentile (%)	52.09	40.387	52.287	42.847	21.777	58.72
adenine deaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	52.123	-	-	-	-	-
NAD+ diphosphatase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	52.257	47.289	-	-	-	29.342
transcription regulatory region sequence-specific DNA binding	FC (WS / NS)	0 (4.32 / 4.32)	-1.01 (2.81 / 6.69)	0.13 (6.61 / 5.95)	-	-	-
 	Percentile (%)	52.491	82.135	27.545	-	-	-
bacterial-type proximal promoter sequence-specific DNA binding	FC (WS / NS)	0 (2 / 2)	-2.42 (0 / 4.36)	-	-	-	-
 	Percentile (%)	52.524	93.36	-	-	-	-
chromatin binding	FC (WS / NS)	0 (0 / 0)	0.39 (3.58 / 2.49)	-	-	-	-
 	Percentile (%)	52.925	14.879	-	-	-	-
double-stranded telomeric DNA binding	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	52.959	-	-	-	-	-
transcription coactivator activity	FC (WS / NS)	0 (0 / 0)	1 (1 / 0)	-	-	-	1.39 (4 / 0.91)
 	Percentile (%)	52.992	7.165	-	-	-	3.416
single-stranded RNA binding	FC (WS / NS)	0 (2.32 / 2.32)	-2.54 (0 / 4.81)	-	-2.84 (0 / 6.17)	-	-0.93 (0 / 0.91)
 	Percentile (%)	53.026	93.814	-	90.341	-	92.161
lysozyme activity	FC (WS / NS)	0 (0 / 0)	-	-	2.43 (4.4 / 0)	-	0.66 (4.52 / 2.49)
 	Percentile (%)	53.059	-	-	5.592	-	9.349
3-hydroxybutyrate dehydrogenase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.093	-	-	-	-	-
6-pyruvoyltetrahydropterin synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.126	-	-	-	-	-
AMP deaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.159	-	-	-	-	-
ATP phosphoribosyltransferase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	0.44 (1.58 / 0.91)
 	Percentile (%)	53.193	22.092	-	-	-	13.448
NADPH-hemoprotein reductase activity	FC (WS / NS)	0 (0 / 0)	1 (1 / 0)	-	-	-	-
 	Percentile (%)	53.226	7.189	-	-	-	-
N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity	FC (WS / NS)	0 (1 / 1)	1 (1 / 0)	-	-	-	1.51 (1.58 / -0.09)
 	Percentile (%)	53.26	7.213	-	-	-	2.229
aconitate hydratase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.05 (1.58 / 1.49)
 	Percentile (%)	53.293	-	-	-	-	45.164
adenosine deaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.327	-	-	-	-	-
alkaline phosphatase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.36	-	-	-	-	-
aspartate 1-decarboxylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	53.394	-	-	-	-	41.136
carbonate dehydratase activity	FC (WS / NS)	0 (3.32 / 3.32)	0.42 (2.32 / 1.49)	-	0 (0 / 0)	-	-0.31 (2 / 2.71)
 	Percentile (%)	53.427	14.211	-	43.646	-	79
chitin synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.46	-	-	-	-	-
creatine kinase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.494	-	-	-	-	-
L-seryl-tRNASec selenium transferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	53.527	-	-	-	-	29.989
cytidine deaminase activity	FC (WS / NS)	0 (1 / 1)	1.14 (1 / -0.09)	-	-	-	1.73 (2 / -0.09)
 	Percentile (%)	53.561	5.899	-	-	-	1.762
dephospho-CoA kinase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	53.594	-	-	-	-	30.025
dihydroneopterin aldolase activity	FC (WS / NS)	0 (1.58 / 1.58)	-	-	-	-	-0.17 (1.58 / 1.91)
 	Percentile (%)	53.628	-	-	-	-	74.254
electron-transferring-flavoprotein dehydrogenase activity	FC (WS / NS)	0 (1.58 / 1.58)	-	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	53.661	-	-	-	-	30.061
ferrochelatase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.694	-	-	-	-	-
fumarylacetoacetase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.728	-	-	-	-	-
glutamate-cysteine ligase activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	2.07 (2.81 / -0.09)
 	Percentile (%)	53.761	22.331	-	-	-	0.899
mRNA guanylyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-1.69 (0 / 2.23)
 	Percentile (%)	53.795	-	-	-	-	97.123
nitric-oxide synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	53.828	-	-	-	-	-
chitinase activity	FC (WS / NS)	0 (0 / 0)	-1.89 (0 / 2.71)	-	-	-	-
 	Percentile (%)	53.862	90.614	-	-	-	-
ornithine-oxo-acid transaminase activity	FC (WS / NS)	0 (1 / 1)	-	-	-	-	-
 	Percentile (%)	53.895	-	-	-	-	-
orotate phosphoribosyltransferase activity	FC (WS / NS)	0 (6.36 / 6.36)	-	-	3.17 (8.01 / 0)	-	0.11 (5.32 / 4.86)
 	Percentile (%)	53.928	-	-	1.235	-	36.03
orotidine-5'-phosphate decarboxylase activity	FC (WS / NS)	0 (6.36 / 6.36)	-1.05 (1.58 / 4.36)	-0.72 (2.32 / 4.46)	-3.48 (0 / 10.18)	-	-0.54 (3 / 4.81)
 	Percentile (%)	53.962	82.422	84.407	97.168	-	87.451
phosphoglycerate dehydrogenase activity	FC (WS / NS)	0 (2 / 2)	0.39 (5.64 / 4.08)	-	-	-	0.04 (2.58 / 2.49)
 	Percentile (%)	53.995	15.094	-	-	-	48.688
phospholipase D activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	54.029	22.427	-	-	-	30.133
phosphopantothenate--cysteine ligase activity	FC (WS / NS)	0 (2.81 / 2.81)	1.58 (2 / 0)	-	-	-	-0.27 (2.81 / 3.61)
 	Percentile (%)	54.062	3.439	-	-	-	77.886
phosphopantothenoylcysteine decarboxylase activity	FC (WS / NS)	0 (2.81 / 2.81)	1.58 (2 / 0)	-	-	-	-0.39 (2.58 / 3.71)
 	Percentile (%)	54.096	3.463	-	-	-	83.819
phosphoribosyl-AMP cyclohydrolase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.129	-	-	-	-	-
phosphoribosyl-ATP diphosphatase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.162	-	-	-	-	-
phosphoribosylglycinamide formyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-0.3 (-0.19 / 0)	-	-0.89 (1 / 2.71)
 	Percentile (%)	54.196	-	-	72.767	-	91.37
polynucleotide 5'-phosphatase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.229	-	-	-	-	-
protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.263	-	-	-	-	-
pyrroline-5-carboxylate reductase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	-	0 (0 / 0)	-	-
 	Percentile (%)	54.296	47.862	-	44.154	-	-
riboflavin synthase activity	FC (WS / NS)	0 (0 / 0)	-1.32 (0 / 1.49)	-	-	-	-0.93 (0 / 0.91)
 	Percentile (%)	54.33	84.237	-	-	-	92.197
ribose-5-phosphate isomerase activity	FC (WS / NS)	0 (6.67 / 6.67)	0.52 (4.58 / 2.91)	-	0.1 (10.29 / 9.55)	-0.22 (-3.17 / -3.53)	-0.07 (4.81 / 5.11)
 	Percentile (%)	54.363	12.563	-	24.256	68.581	68.069
saccharopine dehydrogenase (NAD+, L-lysine-forming) activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.397	-	-	-	-	-
serine-pyruvate transaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.43	-	-	-	-	-
thiamine diphosphokinase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	1.14 (1 / -0.09)
 	Percentile (%)	54.463	-	-	-	-	4.279
tRNA (guanine-N2-)-methyltransferase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.497	-	-	-	-	-
uroporphyrinogen decarboxylase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.53	-	-	-	-	-
xanthine oxidase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.564	-	-	-	-	-
serine-type endopeptidase inhibitor activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	0.86 (0.81 / 0)	-	1.29 (5.09 / 1.49)
 	Percentile (%)	54.597	22.594	-	8.86	-	3.848
G protein-coupled receptor activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-0.74 (2.32 / 4.55)
 	Percentile (%)	54.631	-	-	-	-	89.824
integrin binding	FC (WS / NS)	0 (0 / 0)	-1.32 (0 / 1.49)	-	-	-	-
 	Percentile (%)	54.664	84.332	-	-	-	-
voltage-gated chloride channel activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.697	-	-	-	-	-
proline:sodium symporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.731	-	-	-	-	-
nucleotide-sugar transmembrane transporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.764	-	-	-	-	-
nucleoside:sodium symporter activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	54.798	-	-	-	-	-
chitin binding	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-1.89 (0 / 2.71)
 	Percentile (%)	56.336	-	-	-	-	98.166
protein tyrosine/serine/threonine phosphatase activity	FC (WS / NS)	0 (0 / 0)	-1.32 (0 / 1.49)	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	56.403	83.592	-	-	-	95.146
3'-nucleotidase activity	FC (WS / NS)	0 (0 / 0)	-2.08 (0 / 3.23)	-	-	-	-1.17 (1 / 3.49)
 	Percentile (%)	56.436	91.641	-	-	-	94.498
5'-3' exonuclease activity	FC (WS / NS)	0 (5.7 / 5.7)	-2.03 (0 / 3.08)	-	-	-	-
 	Percentile (%)	56.503	91.378	-	-	-	-
ribonuclease inhibitor activity	FC (WS / NS)	0 (0 / 0)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	56.536	23.907	-	-	-	-
3-hydroxyisobutyrate dehydrogenase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.57	-	-	-	-	-
alanine-glyoxylate transaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.603	-	-	-	-	-
ornithine cyclodeaminase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.637	-	-	-	-	-
oxidized purine nucleobase lesion DNA N-glycosylase activity	FC (WS / NS)	0 (1 / 1)	-	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	56.67	-	-	-	-	95.218
potassium-transporting ATPase activity	FC (WS / NS)	0 (0 / 0)	1.14 (1 / -0.09)	-	-	-	-
 	Percentile (%)	56.737	6.043	-	-	-	-
(2,3-dihydroxybenzoyl)adenylate synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.77	-	-	-	-	-
2-dehydropantoate 2-reductase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.804	-	-	-	-	-
2-hydroxy-3-oxopropionate reductase activity	FC (WS / NS)	0 (0 / 0)	0 (0 / 0)	-	-	-	-
 	Percentile (%)	56.837	48.77	-	-	-	-
3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.871	-	-	-	-	-
5-carboxymethyl-2-hydroxymuconate delta-isomerase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	56.904	-	-	-	-	-
L-arabinose isomerase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	0.05 (1.58 / 1.49)
 	Percentile (%)	56.937	-	-	-	-	45.307
L-aspartate oxidase activity	FC (WS / NS)	0 (0 / 0)	2.06 (3.17 / 0)	-	-	-	0.27 (2 / 1.49)
 	Percentile (%)	56.971	1.385	-	-	-	19.525
L-rhamnose isomerase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	57.004	-	-	-	-	79.755
carboxymethylenebutenolidase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-
 	Percentile (%)	57.038	-	-	-	-	-
cardiolipin synthase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	-1.54 (0 / 1.91)
 	Percentile (%)	57.071	-	-	-	-	96.62
dGTPase activity	FC (WS / NS)	0 (0 / 0)	-	-	-	-	2.07 (2.81 / -0.09)
 	Percentile (%)	57.105	-	-	-	-	1.079
