GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
 	Percentile (%)	51.636	57.989	51.588	55.976	35.585	93.066
cell communication	FC (WS / NS)	0.03 (7.89 / 7.73)	0.01 (11 / 10.93)	0.02 (14.87 / 14.67)	-	0 (13.01 / 13.05)	-
 	Percentile (%)	51.708	45.976	44.199	-	46.696	-
regulation of cellular metabolic process	FC (WS / NS)	0.03 (10.73 / 10.51)	-0.04 (13.75 / 14.16)	0 (20.47 / 20.45)	0 (14.47 / 14.45)	0.03 (16.72 / 16.33)	0.54 (0.38 / -0.05)
 	Percentile (%)	51.744	58.443	51.622	53.222	36.166	6.392
methionine transport	FC (WS / NS)	0.03 (4.09 / 3.99)	-	-	-	1.99 (2.98 / 0)	-
 	Percentile (%)	51.852	-	-	-	6.463	-
mRNA processing	FC (WS / NS)	0.03 (4.17 / 4.08)	-0.12 (6.81 / 7.48)	-	0.34 (6.94 / 5.29)	-	-
 	Percentile (%)	51.888	62.193	-	16.527	-	-
regulation of primary metabolic process	FC (WS / NS)	0.03 (10.71 / 10.5)	-0.05 (13.34 / 13.81)	0 (19.85 / 19.82)	0 (14.04 / 14.02)	0.03 (16.72 / 16.33)	1.1 (-0.15 / -0.6)
 	Percentile (%)	51.96	58.968	51.254	53.32	36.093	2.709
aspartate family amino acid metabolic process	FC (WS / NS)	0.03 (9.41 / 9.23)	-0.16 (10.4 / 11.7)	0.04 (16.33 / 15.9)	-0.14 (11.81 / 13.07)	-0.17 (12.45 / 14.14)	-1.83 (-1.26 / -1.93)
 	Percentile (%)	52.14	63.53	38.215	69.159	67.829	94.475
regulation of nitrogen compound metabolic process	FC (WS / NS)	0.03 (10.68 / 10.48)	-0.05 (13.29 / 13.76)	0 (19.67 / 19.63)	-0.01 (14.08 / 14.15)	0.03 (16.72 / 16.33)	1.31 (-0.19 / -0.67)
 	Percentile (%)	52.283	58.92	50.786	55.042	36.02	1.842
phenylalanyl-tRNA aminoacylation	FC (WS / NS)	0.02 (7.45 / 7.31)	0 (6.86 / 6.87)	0.02 (8.53 / 8.39)	-	-0.69 (8.02 / 13.56)	-
 	Percentile (%)	52.319	55.123	43.23	-	81.264	-
regulation of translation	FC (WS / NS)	0.02 (8.59 / 8.43)	-0.08 (10.69 / 11.36)	-0.02 (13.67 / 13.86)	-0.11 (9.7 / 10.57)	-0.07 (14.17 / 14.94)	0.22 (-10.29 / -8.99)
 	Percentile (%)	52.391	60.592	71.815	66.699	59.187	18.635
regulation of cellular amide metabolic process	FC (WS / NS)	0.02 (8.59 / 8.43)	-0.08 (10.7 / 11.36)	-0.02 (13.67 / 13.86)	-0.1 (10.56 / 11.39)	-0.07 (14.17 / 14.94)	-
 	Percentile (%)	52.427	60.568	71.849	65.912	59.405	-
regulation of cellular protein metabolic process	FC (WS / NS)	0.02 (8.61 / 8.45)	-0.09 (11.58 / 12.41)	-0.02 (14.6 / 14.79)	-0.04 (11.78 / 12.17)	-0.07 (14.17 / 14.94)	-
 	Percentile (%)	52.571	60.951	71.749	59.764	59.259	-
regulation of protein metabolic process	FC (WS / NS)	0.02 (8.62 / 8.46)	-0.09 (12.04 / 12.88)	-0.02 (15.18 / 15.38)	-0.03 (12.67 / 12.92)	-0.07 (14.17 / 14.94)	-
 	Percentile (%)	52.607	60.855	71.581	57.747	59.332	-
carbohydrate derivative biosynthetic process	FC (WS / NS)	0.02 (12 / 11.8)	0.03 (13.65 / 13.31)	0.02 (20.17 / 19.88)	0.02 (15.32 / 15.13)	-0.03 (19.38 / 19.79)	0.21 (2.95 / 2.42)
 	Percentile (%)	52.859	42.321	43.698	48.549	51.707	19.61
arginine catabolic process	FC (WS / NS)	0.02 (8.5 / 8.35)	-0.29 (3 / 3.91)	-0.03 (10.85 / 11.07)	-	-	0.39 (-3.52 / -2.92)
 	Percentile (%)	52.895	67.327	73.454	-	-	9.101
protein targeting	FC (WS / NS)	0.02 (8.34 / 8.19)	0.06 (8.69 / 8.28)	0.05 (12.08 / 11.59)	0.1 (9.78 / 9.09)	-0.03 (13.7 / 14.04)	-0.12 (-7.93 / -8.55)
 	Percentile (%)	52.967	37.64	34.102	31.825	52.36	59.155
response to extracellular stimulus	FC (WS / NS)	0.02 (7.75 / 7.62)	0.01 (11.48 / 11.35)	0.03 (12.5 / 12.18)	0.05 (11.44 / 10.99)	-	-
 	Percentile (%)	53.003	45.164	38.85	40.384	-	-
cellular response to extracellular stimulus	FC (WS / NS)	0.02 (7.75 / 7.62)	0.03 (10.53 / 10.33)	0.03 (11.7 / 11.43)	-0.52 (4.52 / 6.94)	-	-
 	Percentile (%)	53.038	43.396	39.485	82.243	-	-
multi-organism cellular process	FC (WS / NS)	0.02 (5.13 / 5.03)	0.1 (9.98 / 9.25)	0 (9.51 / 9.51)	-	-	-
 	Percentile (%)	53.074	33.604	66.633	-	-	-
multi-organism process	FC (WS / NS)	0.02 (5.13 / 5.03)	0.09 (11.28 / 10.56)	0.03 (13.65 / 13.37)	-	-	-0.4 (-3.84 / -4.75)
 	Percentile (%)	53.11	34.607	40.455	-	-	80.607
biological regulation	FC (WS / NS)	0.02 (12.1 / 11.9)	-0.05 (15.36 / 15.92)	0.01 (22.63 / 22.52)	0.02 (16.82 / 16.58)	0.02 (18.36 / 18.12)	0.06 (3.4 / 3.23)
 	Percentile (%)	53.218	59.064	49.214	47.909	39.288	40.737
ornithine metabolic process	FC (WS / NS)	0.02 (8.48 / 8.34)	-0.22 (4.32 / 5.19)	-0.02 (11 / 11.18)	-	-	-
 	Percentile (%)	53.254	65.369	72.217	-	-	-
ncRNA metabolic process	FC (WS / NS)	0.02 (11.53 / 11.34)	0.02 (12.69 / 12.47)	0.01 (18.53 / 18.46)	0.01 (12.77 / 12.65)	-0.04 (16.74 / 17.25)	NaN (-0.3 / -1.1)
 	Percentile (%)	53.29	43.731	49.816	49.484	54.394	98.592
ribose phosphate biosynthetic process	FC (WS / NS)	0.02 (11.39 / 11.22)	-	0.02 (18.51 / 18.27)	0.01 (14.65 / 14.55)	-0.04 (19.14 / 19.66)	0.28 (1.29 / 0.88)
 	Percentile (%)	53.434	-	44.467	51.107	52.723	13.109
arginine catabolic process to ornithine	FC (WS / NS)	0.02 (8.43 / 8.3)	-	-0.02 (9.67 / 9.85)	-	-0.11 (13.74 / 14.87)	0.26 (-4.58 / -4)
 	Percentile (%)	53.47	-	73.287	-	62.382	14.626
regulation of cellular process	FC (WS / NS)	0.02 (11.51 / 11.34)	-0.06 (14.2 / 14.81)	0.01 (21.1 / 21.01)	0.01 (15.42 / 15.28)	0.01 (17.69 / 17.61)	0.2 (1.25 / 0.96)
 	Percentile (%)	53.506	59.541	49.515	49.779	41.685	21.127
cellular modified amino acid metabolic process	FC (WS / NS)	0.02 (8.47 / 8.34)	0.05 (8.64 / 8.31)	0 (15.55 / 15.53)	-0.08 (10.61 / 11.28)	-0.05 (13.02 / 13.54)	-
 	Percentile (%)	53.65	39.432	51.387	62.912	57.807	-
nucleoside metabolic process	FC (WS / NS)	0.02 (9.65 / 9.5)	0.06 (14.8 / 14.2)	0.01 (22.68 / 22.53)	0.05 (13.22 / 12.75)	-0.01 (16.2 / 16.32)	0.19 (5.17 / 4.41)
 	Percentile (%)	53.722	38.452	47.877	41.318	48.656	21.885
glycosyl compound metabolic process	FC (WS / NS)	0.02 (9.65 / 9.5)	0.05 (15.1 / 14.5)	0.01 (23.03 / 22.87)	0.05 (13.49 / 13.03)	-0.01 (16.2 / 16.32)	0.18 (5.47 / 4.72)
 	Percentile (%)	53.758	38.667	47.743	41.81	48.729	23.619
purine nucleobase metabolic process	FC (WS / NS)	0.02 (6.09 / 5.99)	0.12 (9.25 / 8.46)	0.04 (10.74 / 10.39)	0.07 (9.43 / 8.92)	3.25 (8.49 / 0)	-0.26 (-8.73 / -10.25)
 	Percentile (%)	53.794	33.079	36.677	36.006	0.726	72.156
glutamine family amino acid catabolic process	FC (WS / NS)	0.02 (8.51 / 8.38)	-	-0.02 (12.46 / 12.62)	-0.23 (9.45 / 11.22)	-	-
 	Percentile (%)	53.83	-	71.615	73.389	-	-
response to abiotic stimulus	FC (WS / NS)	0.02 (7.12 / 7.01)	0.02 (13.52 / 13.3)	0.2 (13.56 / 11.69)	0.06 (14.2 / 13.57)	-	-
 	Percentile (%)	53.973	43.802	22.467	38.367	-	-
nucleobase-containing compound metabolic process	FC (WS / NS)	0.02 (13.79 / 13.6)	0.04 (17.17 / 16.7)	0.01 (25.18 / 25)	0.02 (17.99 / 17.73)	0.06 (23.62 / 22.66)	0.13 (7.28 / 6.59)
 	Percentile (%)	54.009	41.39	47.442	47.467	29.847	31.528
aromatic compound biosynthetic process	FC (WS / NS)	0.02 (12.81 / 12.65)	0.04 (15.88 / 15.38)	0.01 (23.35 / 23.14)	0.02 (16.92 / 16.68)	-0.01 (21.04 / 21.15)	0.13 (5.4 / 4.84)
 	Percentile (%)	54.117	40.674	46.205	47.614	47.785	29.794
RNA biosynthetic process	FC (WS / NS)	0.02 (11.31 / 11.17)	-0.01 (10.59 / 10.63)	0.01 (17.94 / 17.8)	0.02 (11.53 / 11.31)	0.01 (20.58 / 20.5)	NaN (-0.92 / -1.43)
 	Percentile (%)	54.153	55.481	47.008	45.696	41.903	98.158
monocarboxylic acid metabolic process	FC (WS / NS)	0.02 (11.88 / 11.73)	-0.01 (12.49 / 12.62)	-0.04 (17.96 / 18.49)	-0.02 (14.51 / 14.78)	0.08 (23.35 / 22.04)	0.39 (2.37 / 1.57)
 	Percentile (%)	54.189	56.126	74.758	57.649	25.708	9.209
biosynthetic process	FC (WS / NS)	0.02 (14.39 / 14.21)	0.02 (17.34 / 17.1)	0 (26 / 25.93)	0.01 (18.48 / 18.34)	0.03 (24.1 / 23.58)	0.14 (10.3 / 9.24)
 	Percentile (%)	54.225	44.543	50.585	50.467	36.747	28.061
organonitrogen compound biosynthetic process	FC (WS / NS)	0.02 (13.73 / 13.56)	0.03 (14.81 / 14.49)	0.01 (21.95 / 21.81)	0.01 (16.5 / 16.4)	0.03 (23.88 / 23.3)	0.22 (6.93 / 5.83)
 	Percentile (%)	54.261	42.919	48.312	51.353	35.149	18.852
cellular biosynthetic process	FC (WS / NS)	0.02 (14.28 / 14.11)	0.03 (16.79 / 16.48)	0.01 (24.95 / 24.85)	0.01 (17.96 / 17.81)	0.03 (24.05 / 23.52)	0.16 (9.12 / 8.07)
 	Percentile (%)	54.297	43.42	49.85	49.926	36.601	25.677
regulation of metabolic process	FC (WS / NS)	0.02 (10.87 / 10.74)	-0.03 (14.77 / 15.16)	0 (21.71 / 21.7)	-0.01 (15.13 / 15.2)	0 (16.92 / 16.93)	0.26 (1.42 / 1.02)
 	Percentile (%)	54.333	58.085	51.956	54.943	45.969	13.543
membrane lipid metabolic process	FC (WS / NS)	0.02 (7.34 / 7.25)	-0.26 (6.25 / 7.67)	0 (12.75 / 12.71)	-	0.16 (13.78 / 12.24)	-0.86 (-3.06 / -4.74)
 	Percentile (%)	54.369	66.3	50.117	-	17.792	91.441
glycolipid metabolic process	FC (WS / NS)	0.02 (7.34 / 7.25)	-0.22 (5.58 / 6.69)	0 (12.11 / 12.08)	-	0.16 (13.78 / 12.24)	-0.73 (-3.55 / -5.24)
 	Percentile (%)	54.405	65.56	50.552	-	17.865	89.707
lipid A biosynthetic process	FC (WS / NS)	0.02 (7.34 / 7.25)	0.03 (3.58 / 3.49)	0 (9.93 / 9.92)	-	0.16 (13.78 / 12.24)	-0.53 (-4.9 / -6.63)
 	Percentile (%)	54.441	42.775	51.655	-	17.938	84.94
lipooligosaccharide metabolic process	FC (WS / NS)	0.02 (7.34 / 7.25)	0.02 (5.58 / 5.49)	0 (11.93 / 11.92)	-	0.16 (13.78 / 12.24)	-0.73 (-3.55 / -5.24)
 	Percentile (%)	54.477	44.137	51.822	-	18.01	89.599
organic substance transport	FC (WS / NS)	0.02 (11.17 / 11.03)	0.02 (12.16 / 11.97)	0 (18.56 / 18.58)	0.01 (13.34 / 13.23)	0.02 (17.64 / 17.42)	-4.51 (-0.99 / -0.78)
 	Percentile (%)	54.513	43.969	66.867	50.615	39.579	95.775
regulation of macromolecule metabolic process	FC (WS / NS)	0.02 (10.84 / 10.71)	-0.04 (13.94 / 14.36)	0 (20.62 / 20.61)	-0.01 (14.26 / 14.41)	0 (16.92 / 16.93)	0.49 (0.42 / 0.01)
 	Percentile (%)	54.621	58.514	52.023	56.173	45.897	7.151
organic substance biosynthetic process	FC (WS / NS)	0.02 (14.35 / 14.19)	0.02 (16.96 / 16.69)	0 (25.12 / 25.05)	0.01 (17.97 / 17.79)	0.03 (24.1 / 23.58)	0.15 (9.5 / 8.44)
 	Percentile (%)	54.657	43.874	50.351	49.188	36.819	26.869
lysine metabolic process	FC (WS / NS)	0.02 (8.02 / 7.93)	-	-	-0.26 (9.7 / 11.85)	-	-
 	Percentile (%)	54.729	-	-	74.717	-	-
selenocysteine biosynthetic process	FC (WS / NS)	0.02 (6.93 / 6.85)	0.02 (6.7 / 6.62)	0 (7.77 / 7.77)	-	-0.11 (11.17 / 12.17)	0.01 (-8.65 / -8.61)
 	Percentile (%)	54.764	45.044	59.378	-	63.544	45.937
selenocysteinyl-tRNA(Sec) biosynthetic process	FC (WS / NS)	0.02 (6.94 / 6.86)	-	0 (7.78 / 7.75)	-	-0.11 (11.25 / 12.26)	0.01 (-8.65 / -8.61)
 	Percentile (%)	54.8	-	50.318	-	63.471	46.046
regulation of biological process	FC (WS / NS)	0.02 (11.8 / 11.67)	-0.05 (15.2 / 15.72)	0 (22.3 / 22.23)	0.02 (16.56 / 16.29)	0 (18.03 / 18.04)	0.13 (2.27 / 1.98)
 	Percentile (%)	54.836	58.801	50.05	46.581	46.042	29.252
RNA metabolic process	FC (WS / NS)	0.01 (12.51 / 12.37)	0.01 (13.54 / 13.43)	0 (20.32 / 20.25)	0.02 (13.93 / 13.77)	0 (20.7 / 20.7)	0.51 (1.24 / 0.58)
 	Percentile (%)	54.908	45.737	50.017	48.795	45.606	6.609
'de novo' IMP biosynthetic process	FC (WS / NS)	0.01 (7.49 / 7.41)	-2.32 (0 / 3.99)	-0.02 (10.2 / 10.32)	-	-0.18 (11.79 / 13.53)	-
 	Percentile (%)	54.944	93.026	71.013	-	68.555	-
regulation of gene expression	FC (WS / NS)	0.01 (10.8 / 10.68)	-0.04 (12.47 / 12.84)	0 (18.8 / 18.79)	0 (13.05 / 13)	0 (16.92 / 16.92)	-1.18 (-1.34 / -1.77)
 	Percentile (%)	55.016	58.371	51.922	52.091	43.428	93.174
tRNA metabolic process	FC (WS / NS)	0.01 (11.41 / 11.29)	0.01 (12.13 / 12.04)	0 (17.76 / 17.73)	0.02 (11.78 / 11.61)	-0.05 (16.52 / 17.16)	NaN (-0.73 / -1.52)
 	Percentile (%)	55.088	45.761	50.886	47.811	57.444	96.1
nucleobase-containing compound biosynthetic process	FC (WS / NS)	0.01 (12.64 / 12.5)	0.04 (15.74 / 15.24)	0.01 (23.14 / 22.93)	0.02 (16.72 / 16.46)	-0.01 (21.03 / 21.14)	0.14 (5.25 / 4.69)
 	Percentile (%)	55.196	40.506	46.138	46.729	47.712	29.036
ion transmembrane transport	FC (WS / NS)	0.01 (9.7 / 9.59)	0.04 (11.43 / 11.12)	0.02 (18.01 / 17.75)	0.03 (12.75 / 12.45)	-0.04 (18.71 / 19.27)	-0.76 (-0.21 / 0.34)
 	Percentile (%)	55.232	41.677	43.33	44.663	54.176	90.358
organic cyclic compound biosynthetic process	FC (WS / NS)	0.01 (12.86 / 12.73)	0.04 (15.89 / 15.39)	0.01 (23.38 / 23.18)	0.02 (16.97 / 16.72)	-0.01 (21.04 / 21.16)	0.13 (5.41 / 4.86)
 	Percentile (%)	55.268	40.769	46.606	47.418	47.858	30.553
inorganic ion transmembrane transport	FC (WS / NS)	0.01 (9.68 / 9.58)	0.04 (11.07 / 10.71)	0.02 (17.06 / 16.81)	0.02 (11.67 / 11.47)	-	-
 	Percentile (%)	55.376	40.65	43.297	46.237	-	-
arginine metabolic process	FC (WS / NS)	0.01 (9.19 / 9.11)	-0.03 (6.73 / 6.88)	-0.03 (14.02 / 14.29)	-	-0.11 (13.93 / 15.12)	0.94 (-1.65 / -1.34)
 	Percentile (%)	55.448	57.583	73.554	-	63.253	3.359
ribonucleotide biosynthetic process	FC (WS / NS)	0.01 (11.24 / 11.14)	0.05 (11.87 / 11.45)	0.02 (17.85 / 17.65)	0.01 (14.26 / 14.19)	-0.04 (19.04 / 19.62)	0.3 (0.79 / 0.45)
 	Percentile (%)	55.556	39.694	45.035	51.697	54.902	12.134
heterocycle biosynthetic process	FC (WS / NS)	0.01 (12.84 / 12.72)	0.04 (15.88 / 15.38)	0.01 (23.36 / 23.16)	0.02 (16.97 / 16.72)	-0.01 (21.04 / 21.16)	0.13 (5.4 / 4.85)
 	Percentile (%)	55.592	40.626	46.473	47.516	47.93	30.444
response to stress	FC (WS / NS)	0.01 (10.56 / 10.47)	0 (13.5 / 13.5)	0.04 (18.83 / 18.26)	0.02 (14.37 / 14.16)	-0.03 (16.27 / 16.59)	NaN (0.23 / -1.25)
 	Percentile (%)	55.627	54.645	37.078	47.172	51.271	96.425
glycerophospholipid metabolic process	FC (WS / NS)	0.01 (5.95 / 5.91)	-0.27 (3.81 / 4.81)	0.11 (13.69 / 12.64)	-	0.12 (10.85 / 9.88)	0.1 (-8.05 / -7.6)
 	Percentile (%)	55.771	66.611	28.419	-	20.988	35.861
glycerolipid metabolic process	FC (WS / NS)	0.01 (5.95 / 5.91)	-0.33 (4.95 / 6.51)	0.1 (14.45 / 13.39)	-	-	-
 	Percentile (%)	55.807	69.262	28.786	-	-	-
cofactor metabolic process	FC (WS / NS)	0.01 (10.85 / 10.76)	0.08 (12.63 / 11.92)	0.01 (19.55 / 19.36)	0.01 (15.42 / 15.32)	-0.07 (15.73 / 16.62)	0.28 (2.51 / 1.88)
 	Percentile (%)	55.843	35.419	45.47	51.254	59.622	13.001
liposaccharide metabolic process	FC (WS / NS)	0.01 (7.97 / 7.91)	0.01 (8.64 / 8.61)	0.02 (13.24 / 13.07)	-	0.13 (14.54 / 13.25)	-0.78 (-3.35 / -5.03)
 	Percentile (%)	55.915	46.453	44.5	-	20.552	90.574
protein import	FC (WS / NS)	0.01 (7.58 / 7.52)	-0.37 (4.25 / 5.76)	-	-	-0.04 (13.34 / 13.76)	-
 	Percentile (%)	55.951	69.883	-	-	55.047	-
nucleoside phosphate biosynthetic process	FC (WS / NS)	0.01 (11.58 / 11.51)	0.05 (13.78 / 13.32)	0.02 (20.08 / 19.83)	0.02 (16.32 / 16.09)	-0.04 (19.05 / 19.64)	0.15 (2.63 / 2.26)
 	Percentile (%)	56.275	40.196	44.534	48.106	55.338	26.977
nucleic acid metabolic process	FC (WS / NS)	0.01 (12.73 / 12.66)	0.01 (13.99 / 13.88)	0 (21.43 / 21.39)	0.01 (14.32 / 14.19)	0 (20.74 / 20.72)	0.38 (2.21 / 1.46)
 	Percentile (%)	56.311	45.808	51.02	49.975	43.282	9.642
cellular process	FC (WS / NS)	0.01 (15.45 / 15.36)	0.02 (18.68 / 18.46)	0 (27.63 / 27.59)	0 (19.63 / 19.65)	0.04 (24.9 / 24.21)	0.12 (11.08 / 10.1)
 	Percentile (%)	56.347	44.829	51.187	53.96	33.479	32.394
neurotransmitter catabolic process	FC (WS / NS)	0.01 (5.58 / 5.55)	-	-0.22 (6.98 / 8.31)	-0.28 (6.34 / 7.94)	-	-
 	Percentile (%)	56.383	-	83.383	75.455	-	-
organophosphate biosynthetic process	FC (WS / NS)	0.01 (12.01 / 11.95)	0.04 (14.02 / 13.6)	0.02 (20.78 / 20.51)	0.02 (16.53 / 16.32)	-0.04 (19.23 / 19.74)	0.16 (3.14 / 2.69)
 	Percentile (%)	56.455	40.936	44.3	48.401	52.651	25.135
tRNA aminoacylation for protein translation	FC (WS / NS)	0.01 (11.17 / 11.11)	0 (10.94 / 10.96)	0 (15.38 / 15.44)	0 (9.31 / 9.31)	-0.05 (16.48 / 17.07)	-0.7 (-2.24 / -3.01)
 	Percentile (%)	56.49	55.075	67.904	53.369	56.718	89.274
biological_process	FC (WS / NS)	0.01 (15.84 / 15.76)	0.01 (19.6 / 19.49)	0 (28.79 / 28.77)	0 (20.35 / 20.36)	0.03 (25.05 / 24.51)	0.11 (12.37 / 11.38)
 	Percentile (%)	56.562	46.071	51.688	53.812	36.892	33.694
organic substance metabolic process	FC (WS / NS)	0.01 (15.19 / 15.11)	0.02 (18.59 / 18.38)	0 (27.36 / 27.29)	0 (19.3 / 19.31)	0.04 (24.87 / 24.18)	0.13 (11.16 / 10.14)
 	Percentile (%)	56.634	44.925	50.752	53.763	33.115	31.203
cellular aromatic compound metabolic process	FC (WS / NS)	0.01 (13.92 / 13.85)	0.04 (17.37 / 16.91)	0.01 (25.56 / 25.41)	0.02 (18.21 / 18)	0.05 (23.62 / 22.73)	0.12 (7.6 / 6.91)
 	Percentile (%)	56.67	41.653	48.546	48.893	30.501	32.611
heterocycle metabolic process	FC (WS / NS)	0.01 (13.91 / 13.84)	0.04 (17.38 / 16.91)	0.01 (25.56 / 25.41)	0.02 (18.24 / 18.02)	0.05 (23.62 / 22.72)	0.12 (7.61 / 6.92)
 	Percentile (%)	56.706	41.533	48.679	48.5	30.428	32.719
gluconeogenesis	FC (WS / NS)	0.01 (9.58 / 9.54)	-0.13 (7.72 / 8.56)	-0.02 (12.6 / 12.83)	0.02 (10.1 / 9.95)	0.02 (19.07 / 18.78)	-1.4 (-1.21 / -1.56)
 	Percentile (%)	56.778	62.646	73.086	47.664	39.07	93.824
fatty acid biosynthetic process	FC (WS / NS)	0.01 (9.01 / 8.98)	-0.05 (9.12 / 9.45)	-0.01 (14.15 / 14.28)	-	0.07 (16.98 / 16.15)	NaN (-0.73 / -1.6)
 	Percentile (%)	56.886	58.873	70.11	-	28.903	96.208
organic cyclic compound metabolic process	FC (WS / NS)	0.01 (13.92 / 13.87)	0.04 (17.38 / 16.92)	0.01 (25.58 / 25.43)	0.02 (18.24 / 18.03)	0.05 (23.62 / 22.73)	0.12 (7.61 / 6.92)
 	Percentile (%)	56.922	41.629	48.813	48.746	30.574	32.828
nucleotide biosynthetic process	FC (WS / NS)	0.01 (11.51 / 11.46)	0.05 (12.76 / 12.27)	0.02 (19.03 / 18.81)	0.02 (15.23 / 15.06)	-0.04 (19.05 / 19.64)	0.25 (1.57 / 1.16)
 	Percentile (%)	56.958	39.145	44.734	48.992	55.12	15.168
cellular nitrogen compound biosynthetic process	FC (WS / NS)	0.01 (13.75 / 13.7)	0.03 (16.09 / 15.69)	0.01 (23.5 / 23.33)	0.01 (17.35 / 17.23)	0.03 (24.02 / 23.48)	0.18 (7.25 / 6.26)
 	Percentile (%)	56.994	41.939	47.375	50.713	36.529	22.319
cofactor biosynthetic process	FC (WS / NS)	0 (10.34 / 10.31)	0.09 (11.31 / 10.58)	0.01 (18 / 17.83)	0.01 (14.17 / 14.12)	-0.12 (14.65 / 16.05)	1.61 (0.27 / -0.59)
 	Percentile (%)	57.03	34.488	46.038	51.894	64.27	1.3
small molecule metabolic process	FC (WS / NS)	0 (14.24 / 14.19)	0.02 (17.41 / 17.1)	0 (25.59 / 25.55)	0 (18.48 / 18.51)	0.06 (23.56 / 22.64)	0.1 (8.05 / 7.43)
 	Percentile (%)	57.066	43.468	51.22	54.107	30.138	34.67
macromolecule metabolic process	FC (WS / NS)	0 (13.91 / 13.86)	0.01 (16.79 / 16.72)	0 (25.22 / 25.2)	0 (16.21 / 16.17)	0.03 (24 / 23.43)	0.16 (10.18 / 9.01)
 	Percentile (%)	57.102	46.525	51.856	52.582	35.73	25.569
macromolecule biosynthetic process	FC (WS / NS)	0 (13.35 / 13.31)	0 (15.11 / 15.08)	0 (23 / 23.06)	0 (14.28 / 14.26)	0.03 (23.98 / 23.39)	0.19 (8.61 / 7.44)
 	Percentile (%)	57.246	46.812	67.436	53.074	34.931	22.102
generation of precursor metabolites and energy	FC (WS / NS)	0 (11.75 / 11.71)	-0.01 (12.26 / 12.39)	0.01 (19.35 / 19.2)	-0.07 (13.91 / 14.67)	0.08 (23.36 / 22.08)	0.34 (2.96 / 2.13)
 	Percentile (%)	57.389	56.102	47.041	62.027	25.926	10.618
macromolecule catabolic process	FC (WS / NS)	0 (8.84 / 8.81)	-0.11 (9.63 / 10.45)	-0.07 (13.83 / 14.56)	-0.1 (8.58 / 9.27)	-0.13 (14.25 / 15.66)	0.07 (-5.14 / -4.95)
 	Percentile (%)	57.425	61.572	76.429	66.011	64.706	38.57
cellular macromolecule biosynthetic process	FC (WS / NS)	0 (13.28 / 13.24)	0 (14.51 / 14.48)	0 (22.18 / 22.24)	0 (13.97 / 14.01)	0.03 (23.98 / 23.38)	0.2 (7.97 / 6.79)
 	Percentile (%)	57.533	46.859	67.636	54.697	35.004	20.477
cellular nitrogen compound metabolic process	FC (WS / NS)	0 (14.43 / 14.39)	0.03 (17.46 / 17.04)	0.01 (25.6 / 25.46)	0.01 (18.53 / 18.4)	0.04 (24.73 / 23.96)	0.14 (8.25 / 7.4)
 	Percentile (%)	57.605	42.345	48.713	50.959	32.244	28.602
cellular metabolic process	FC (WS / NS)	0 (15.05 / 15)	0.02 (18.41 / 18.17)	0 (27.26 / 27.21)	0 (19.44 / 19.46)	0.04 (24.78 / 24.07)	0.13 (10.7 / 9.71)
 	Percentile (%)	57.641	44.614	50.819	54.009	32.825	31.311
nitrogen compound metabolic process	FC (WS / NS)	0 (14.76 / 14.72)	0.02 (17.88 / 17.56)	0 (26.28 / 26.19)	0 (18.86 / 18.85)	0.04 (24.74 / 24.01)	0.13 (9.4 / 8.47)
 	Percentile (%)	57.713	43.492	49.983	53.468	32.68	29.144
UDP-N-acetylglucosamine biosynthetic process	FC (WS / NS)	0 (6.19 / 6.17)	-0.13 (7.18 / 7.97)	0.02 (6.09 / 5.98)	-	0.14 (12.94 / 11.68)	-0.34 (-8.95 / -11.05)
 	Percentile (%)	57.785	62.622	42.294	-	19.463	77.031
cellular localization	FC (WS / NS)	0 (9.35 / 9.33)	0.03 (11.63 / 11.33)	-0.01 (15.72 / 15.82)	0.01 (11.87 / 11.75)	-0.04 (14.58 / 15.05)	-0.16 (-6.35 / -6.96)
 	Percentile (%)	57.857	42.13	69.274	49.336	55.41	62.08
metabolic process	FC (WS / NS)	0 (15.35 / 15.32)	0.01 (19.12 / 18.94)	0 (28.52 / 28.49)	0 (19.9 / 19.94)	0.03 (24.92 / 24.37)	0.11 (12.18 / 11.18)
 	Percentile (%)	57.965	45.379	51.321	54.156	36.383	33.369
cellular macromolecule metabolic process	FC (WS / NS)	0 (13.48 / 13.46)	0 (15.65 / 15.6)	0 (23.89 / 23.9)	0 (14.96 / 15.01)	0.03 (23.98 / 23.39)	0.18 (9.13 / 7.95)
 	Percentile (%)	58.001	46.62	66.6	54.648	35.221	23.294
cellular carbohydrate metabolic process	FC (WS / NS)	0 (9.42 / 9.4)	0.04 (11.28 / 10.91)	0.02 (16.98 / 16.69)	0 (12.4 / 12.36)	0 (16.33 / 16.37)	1.61 (-0.73 / -0.91)
 	Percentile (%)	58.037	40.53	41.825	52.041	46.478	1.192
monosaccharide biosynthetic process	FC (WS / NS)	0 (9.6 / 9.59)	-0.11 (9.39 / 10.19)	-0.02 (14.29 / 14.52)	0.01 (11.7 / 11.57)	-	-
 	Percentile (%)	58.073	61.548	72.651	49.09	-	-
primary metabolic process	FC (WS / NS)	0 (14.97 / 14.95)	0.02 (17.83 / 17.56)	0.01 (26.31 / 26.2)	0 (18.55 / 18.5)	0.04 (24.85 / 24.16)	0.14 (9.99 / 8.97)
 	Percentile (%)	58.109	44.16	49.649	52.533	33.043	28.277
