GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
 	Percentile (%)	49.296	60.755	79.263	-	47.426	70.501
alpha-1,4-glucan synthase activity	FC (WS / NS)	-0.04 (6.15 / 6.34)	-	-	-	-	-0.14 (3.81 / 4.3)
 	Percentile (%)	49.343	-	-	-	-	70.526
UDP-glucosyltransferase activity	FC (WS / NS)	-0.04 (6.15 / 6.34)	-0.17 (4 / 4.61)	-1 (0 / 1)	-	-0.01 (-11.14 / -11.2)	-0.19 (3.91 / 4.61)
 	Percentile (%)	49.39	59.745	90.455	-	47.498	73.484
vitamin binding	FC (WS / NS)	-0.04 (18.56 / 19.07)	-0.19 (7.65 / 8.84)	-0.03 (16.35 / 16.69)	-0.06 (11.66 / 12.2)	1.14 (0.74 / -0.21)	-0.03 (11.07 / 11.36)
 	Percentile (%)	49.484	60.335	71.801	57.46	2.756	63.083
thioredoxin peroxidase activity	FC (WS / NS)	-0.04 (5.98 / 6.17)	0.56 (6.38 / 3.99)	0.52 (6.43 / 4.17)	-	0.03 (-8.49 / -8.36)	0.56 (6.51 / 4.08)
 	Percentile (%)	49.531	15.158	15.45	-	43.075	11.654
transaminase activity	FC (WS / NS)	-0.04 (15.17 / 15.6)	-0.2 (8.01 / 9.35)	0.01 (13.52 / 13.43)	0.06 (8.92 / 8.53)	-0.42 (-3.46 / -4.29)	0.12 (10.12 / 9.25)
 	Percentile (%)	49.578	60.708	49.92	40.095	82.161	36.642
transferase activity, transferring nitrogenous groups	FC (WS / NS)	-0.04 (15.17 / 15.6)	-0.19 (8.41 / 9.75)	0.01 (14.4 / 14.32)	0.06 (8.92 / 8.53)	-0.45 (-3.24 / -4.07)	0.12 (10.12 / 9.25)
 	Percentile (%)	49.625	60.599	50.401	40.127	83.249	36.667
amino acid binding	FC (WS / NS)	-0.04 (13.11 / 13.48)	0.1 (4.25 / 3.91)	-0.01 (13.52 / 13.64)	0.13 (6.78 / 6.09)	0.05 (-2.58 / -2.53)	0 (8.43 / 8.4)
 	Percentile (%)	49.672	34.586	68.231	27.968	40.247	57.268
ligase activity	FC (WS / NS)	-0.04 (17.22 / 17.72)	0 (12.89 / 12.92)	0 (19.13 / 19.09)	0.03 (13.07 / 12.82)	0.77 (1.38 / 0.4)	0.03 (12.37 / 12.09)
 	Percentile (%)	49.812	52.337	51.934	45.841	4.061	51.228
peptidase activity, acting on L-amino acid peptides	FC (WS / NS)	-0.04 (16.4 / 16.89)	0.02 (10.27 / 10.16)	0.04 (17.43 / 16.95)	0.04 (12.35 / 11.97)	-1.09 (-1.95 / -3.02)	0.04 (11.24 / 10.93)
 	Percentile (%)	50.422	44.867	40.856	43.524	93.328	50.05
6,7-dimethyl-8-ribityllumazine synthase activity	FC (WS / NS)	-0.04 (5.46 / 5.64)	-0.69 (2.81 / 5.15)	-0.77 (2.58 / 5.13)	-0.66 (2.81 / 5)	-	-0.7 (2.81 / 5.19)
 	Percentile (%)	51.22	71.704	87.549	81.365	-	88.622
catalytic activity, acting on a tRNA	FC (WS / NS)	-0.04 (17.38 / 17.92)	0.01 (11.8 / 11.72)	0 (16.49 / 16.53)	0.02 (11.48 / 11.34)	NaN (-0.95 / -1.77)	0.02 (11.65 / 11.47)
 	Percentile (%)	51.642	45.551	65.759	48.222	99.927	53.709
oxidoreductase activity, acting on other nitrogenous compounds as donors	FC (WS / NS)	-0.04 (11.62 / 12)	-0.5 (5.88 / 8.71)	-0.02 (11.62 / 11.77)	-0.11 (7.96 / 8.69)	-0.02 (-7.36 / -7.46)	0.07 (7.94 / 7.53)
 	Percentile (%)	51.97	68.178	69.467	63.587	49.891	44.211
pyruvate dehydrogenase activity	FC (WS / NS)	-0.04 (4.94 / 5.13)	-0.45 (3.32 / 4.91)	0.08 (8.49 / 7.98)	-0.16 (10.06 / 11.39)	-	0.08 (5.78 / 5.4)
 	Percentile (%)	52.251	67.371	33.646	67.333	-	39.875
pyruvate dehydrogenase (acetyl-transferring) activity	FC (WS / NS)	-0.04 (4.94 / 5.13)	-0.56 (2.32 / 3.91)	0.09 (7.49 / 6.98)	-	-	0.08 (5.78 / 5.4)
 	Percentile (%)	52.298	69.793	32.753	-	-	39.9
transporter activity	FC (WS / NS)	-0.05 (19.19 / 19.83)	0.02 (13.87 / 13.62)	0.01 (21.05 / 20.87)	0 (13.89 / 13.94)	-0.19 (2.18 / 2.63)	0.03 (11.41 / 11.19)
 	Percentile (%)	52.345	43.578	48.272	52.635	64.54	52.556
transmembrane transporter activity	FC (WS / NS)	-0.05 (19.19 / 19.83)	0.03 (13.57 / 13.29)	0.02 (20.15 / 19.87)	0 (13.89 / 13.94)	-0.25 (1.54 / 2.02)	0.03 (11.35 / 11.14)
 	Percentile (%)	52.392	43.33	46.098	52.667	70.196	52.707
cofactor binding	FC (WS / NS)	-0.05 (20.3 / 20.99)	-0.05 (10.85 / 11.29)	-0.02 (20.17 / 20.54)	-0.04 (13.99 / 14.46)	0.26 (2.58 / 1.99)	-0.04 (12.89 / 13.27)
 	Percentile (%)	52.533	55.723	71.298	56.667	14.503	63.709
aminoacyl-tRNA ligase activity	FC (WS / NS)	-0.05 (16.5 / 17.08)	0 (11.05 / 11.04)	0 (15.49 / 15.54)	-0.01 (9.07 / 9.16)	-1.34 (-1.56 / -2.41)	0.02 (11.25 / 11.12)
 	Percentile (%)	52.58	46.436	66.217	53.492	94.271	54.887
ligase activity, forming carbon-oxygen bonds	FC (WS / NS)	-0.05 (16.5 / 17.08)	0 (12.05 / 12.04)	0 (17.01 / 17.06)	-0.01 (9.07 / 9.16)	NaN (-0.53 / -1.34)	0.02 (11.25 / 11.12)
 	Percentile (%)	52.627	46.451	65.988	53.524	97.825	54.912
iron ion binding	FC (WS / NS)	-0.05 (18.03 / 18.65)	-0.2 (7.28 / 8.48)	-0.01 (16.53 / 16.7)	-0.03 (10.78 / 11.06)	0.6 (0.86 / 0.23)	-0.04 (10.57 / 10.88)
 	Percentile (%)	52.674	60.662	68.917	55.778	6.091	63.684
proton transmembrane transporter activity	FC (WS / NS)	-0.05 (19.1 / 19.77)	0.05 (10.48 / 10.06)	0.03 (15.38 / 15.02)	-0.01 (10.71 / 10.8)	0.99 (-1.99 / -1.5)	0.04 (9.68 / 9.4)
 	Percentile (%)	52.72	39.804	41.978	53.302	3.263	49.624
cation channel activity	FC (WS / NS)	-0.05 (19.1 / 19.77)	0.07 (9 / 8.54)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	0.3 (-3.18 / -2.76)	0.03 (9.48 / 9.28)
 	Percentile (%)	52.767	37.816	43.946	48.032	12.473	52.281
proton channel activity	FC (WS / NS)	-0.05 (19.1 / 19.77)	0.07 (9 / 8.52)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	0.3 (-3.18 / -2.76)	0.03 (9.48 / 9.28)
 	Percentile (%)	52.814	36.574	44.106	48.063	12.545	52.18
proton-transporting ATP synthase activity, rotational mechanism	FC (WS / NS)	-0.05 (19.1 / 19.77)	0.07 (9 / 8.52)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	0.3 (-3.18 / -2.76)	0.03 (9.48 / 9.28)
 	Percentile (%)	52.861	36.59	44.152	48.095	12.763	52.206
monovalent inorganic cation transmembrane transporter activity	FC (WS / NS)	-0.05 (19.1 / 19.77)	0.04 (10.95 / 10.59)	0.02 (16.05 / 15.81)	-0.02 (11.21 / 11.41)	3.32 (-1.58 / -1.06)	0.02 (9.73 / 9.55)
 	Percentile (%)	52.908	41.171	45.571	54.635	0.363	52.832
ion channel activity	FC (WS / NS)	-0.05 (19.11 / 19.77)	0.05 (9.02 / 8.66)	0.02 (13.21 / 12.97)	0.02 (9.49 / 9.33)	0.3 (-3.18 / -2.76)	0.03 (9.75 / 9.54)
 	Percentile (%)	52.955	39.727	44.038	46.476	12.4	51.905
channel activity	FC (WS / NS)	-0.05 (19.11 / 19.77)	-0.05 (9.13 / 9.49)	0.01 (13.3 / 13.2)	-0.07 (10.69 / 11.23)	0.3 (-3.18 / -2.76)	0.01 (9.79 / 9.7)
 	Percentile (%)	53.002	55.537	48.821	57.81	12.618	55.564
passive transmembrane transporter activity	FC (WS / NS)	-0.05 (19.11 / 19.77)	-0.07 (9.18 / 9.71)	0.01 (13.36 / 13.31)	-0.06 (11.06 / 11.61)	0.3 (-3.18 / -2.76)	0.01 (9.79 / 9.7)
 	Percentile (%)	53.049	56.717	51.064	57.778	12.69	55.589
phosphotransferase activity, phosphate group as acceptor	FC (WS / NS)	-0.05 (19.13 / 19.8)	0.06 (10.39 / 9.95)	0.03 (13.74 / 13.49)	0.04 (9.91 / 9.62)	0.01 (-2.59 / -2.58)	0.05 (10.06 / 9.72)
 	Percentile (%)	53.189	39.028	43.717	44.19	45.468	48.596
inorganic molecular entity transmembrane transporter activity	FC (WS / NS)	-0.05 (19.11 / 19.79)	0.03 (11.65 / 11.38)	0.01 (17.26 / 17.08)	0.01 (12.56 / 12.47)	-2.51 (-0.89 / -0.37)	0.03 (10.45 / 10.23)
 	Percentile (%)	53.377	42.802	47.311	49.81	95.794	52.105
inorganic cation transmembrane transporter activity	FC (WS / NS)	-0.05 (19.11 / 19.79)	0.04 (11.6 / 11.29)	0.02 (17.24 / 17.04)	0 (12.07 / 12.1)	-3.77 (-0.96 / -0.42)	0.02 (10.09 / 9.91)
 	Percentile (%)	53.424	42.149	47.059	52.444	96.084	53.133
ion transmembrane transporter activity	FC (WS / NS)	-0.05 (19.11 / 19.79)	0.03 (12.4 / 12.12)	0.02 (18.66 / 18.44)	0.01 (13.15 / 13.04)	-0.53 (0.17 / 0.69)	0.02 (10.52 / 10.34)
 	Percentile (%)	53.471	42.957	46.693	49.429	85.279	53.509
cation transmembrane transporter activity	FC (WS / NS)	-0.05 (19.11 / 19.79)	0.03 (11.85 / 11.57)	0.02 (17.96 / 17.74)	0 (12.36 / 12.36)	-1.18 (-0.6 / -0.09)	0.02 (10.13 / 10.02)
 	Percentile (%)	53.518	42.771	46.67	51.714	93.981	55.063
acetyltransferase activity	FC (WS / NS)	-0.05 (17.05 / 17.67)	-0.19 (9.6 / 11.08)	-0.08 (13.83 / 14.63)	-0.13 (10.27 / 11.37)	NaN (-0.62 / -1.78)	-0.02 (9.87 / 10)
 	Percentile (%)	53.565	60.413	75.189	65.429	97.534	61.153
molecular transducer activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-0.66 (5.29 / 8.94)	0 (13.95 / 13.9)	-0.13 (5.95 / 6.6)	-0.16 (-5.15 / -5.65)	-0.01 (7.32 / 7.38)
 	Percentile (%)	53.705	71.3	51.637	65.206	62.364	60.351
signaling receptor activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-2.2 (1 / 8.2)	0 (9.68 / 9.67)	-	0.06 (-10.25 / -9.86)	0.01 (6.98 / 6.92)
 	Percentile (%)	53.752	92.204	52.461	-	37.636	55.714
transmembrane signaling receptor activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-3.16 (0 / 7.96)	1 (1 / 0)	-	-	0.01 (6.98 / 6.92)
 	Percentile (%)	53.799	99.736	8.972	-	-	55.689
ionotropic glutamate receptor activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.05 (6.81 / 6.55)
 	Percentile (%)	53.846	-	-	-	-	47.669
extracellular ligand-gated ion channel activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.08 (7.03 / 6.58)
 	Percentile (%)	53.893	-	-	-	-	39.799
glutamate receptor activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.05 (6.81 / 6.55)
 	Percentile (%)	53.94	-	-	-	-	47.694
ligand-gated ion channel activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.08 (7.03 / 6.58)
 	Percentile (%)	53.987	-	-	-	-	39.825
transmitter-gated ion channel activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.05 (6.81 / 6.55)
 	Percentile (%)	54.034	-	-	-	-	47.719
ligand-gated channel activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.08 (7.03 / 6.58)
 	Percentile (%)	54.081	-	-	-	-	39.85
transmitter-gated channel activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-	-	-	-	0.05 (6.81 / 6.55)
 	Percentile (%)	54.128	-	-	-	-	47.744
neurotransmitter receptor activity	FC (WS / NS)	-0.05 (10.13 / 10.52)	-0.93 (0 / 0.91)	-	-	-	0.05 (6.81 / 6.55)
 	Percentile (%)	54.174	76.673	-	-	-	47.769
oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor	FC (WS / NS)	-0.05 (11.98 / 12.46)	0.91 (2.58 / 0.91)	0 (9.87 / 9.87)	-0.06 (7.34 / 7.67)	-0.15 (-5.43 / -5.9)	-0.01 (7.86 / 7.89)
 	Percentile (%)	54.268	12.269	58.663	57.302	60.551	59.549
4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	FC (WS / NS)	-0.05 (11.98 / 12.46)	-	-0.07 (7.08 / 7.48)	-0.09 (7 / 7.54)	-0.13 (-7.32 / -7.93)	-0.05 (7.45 / 7.74)
 	Percentile (%)	54.315	-	74.937	61.302	60.044	64.11
carboxyl- or carbamoyltransferase activity	FC (WS / NS)	-0.05 (12.23 / 12.72)	-0.19 (5.32 / 6.19)	-0.02 (11.86 / 12.08)	-0.03 (8.77 / 8.95)	0.14 (-2.84 / -2.67)	0.01 (9.09 / 9.03)
 	Percentile (%)	54.503	60.351	71.252	55.048	27.701	55.965
metallopeptidase activity	FC (WS / NS)	-0.06 (15.19 / 15.84)	0.07 (7.97 / 7.57)	0.01 (14.39 / 14.23)	0 (10.15 / 10.19)	-0.09 (-5.57 / -5.86)	0.02 (9.69 / 9.55)
 	Percentile (%)	55.113	37.941	47.242	52.603	55.547	54.211
carboxylic ester hydrolase activity	FC (WS / NS)	-0.06 (15.83 / 16.5)	0.06 (8.86 / 8.47)	0 (12.34 / 12.36)	2.41 (4.32 / 0)	-	0.01 (8.79 / 8.72)
 	Percentile (%)	55.159	38.904	65.576	1.333	-	55.739
aminoacyl-tRNA editing activity	FC (WS / NS)	-0.06 (15.82 / 16.5)	0.06 (7.97 / 7.59)	-0.02 (10.13 / 10.32)	-	-	0 (8.65 / 8.68)
 	Percentile (%)	55.206	38.593	71.183	-	-	59.348
protein dimerization activity	FC (WS / NS)	-0.06 (13.68 / 14.31)	-0.1 (7.03 / 7.63)	-1.73 (0 / 2.32)	0.02 (10.2 / 10.02)	-	-0.01 (8.66 / 8.7)
 	Percentile (%)	55.488	57.385	95.148	46.317	-	59.574
nitrate reductase activity	FC (WS / NS)	-0.06 (11.44 / 12)	-1.04 (2 / 5.15)	-0.05 (8.48 / 8.81)	0.09 (6.38 / 5.91)	0 (-8.81 / -8.78)	0.09 (6.61 / 6.15)
 	Percentile (%)	56.051	80.696	73.358	33.333	45.758	39.323
transferase activity, transferring one-carbon groups	FC (WS / NS)	-0.06 (14.01 / 14.69)	0.14 (9.79 / 8.81)	0 (16.41 / 16.4)	0.04 (10.59 / 10.31)	-0.12 (-1.48 / -1.53)	0.03 (10.48 / 10.24)
 	Percentile (%)	56.098	33.157	52.667	44.635	58.521	51.178
racemase and epimerase activity	FC (WS / NS)	-0.07 (11.09 / 11.7)	0.21 (9.55 / 8.1)	-0.03 (12.91 / 13.22)	0.07 (9.25 / 8.75)	-0.14 (-5.52 / -5.98)	0.12 (8.68 / 7.93)
 	Percentile (%)	56.426	23.342	72.03	37.079	60.334	36.742
racemase and epimerase activity, acting on carbohydrates and derivatives	FC (WS / NS)	-0.07 (11.09 / 11.7)	0.22 (7.29 / 6.13)	0 (11.21 / 11.19)	1.37 (4.17 / 1)	-0.13 (-5.83 / -6.27)	0.09 (7.73 / 7.22)
 	Percentile (%)	56.707	23.264	52.369	5.524	58.811	39.524
ornithine carbamoyltransferase activity	FC (WS / NS)	-0.07 (11.88 / 12.54)	-0.22 (4.32 / 5.19)	-0.06 (7.81 / 8.2)	-	0.23 (-5.39 / -4.75)	-0.03 (8.02 / 8.22)
 	Percentile (%)	56.754	61.143	74.411	-	17.984	62.957
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	FC (WS / NS)	-0.07 (14.69 / 15.52)	0.08 (8.98 / 8.43)	-0.01 (15.72 / 15.8)	-0.08 (9.52 / 10.12)	0.5 (-2.64 / -2.16)	0.02 (9.68 / 9.54)
 	Percentile (%)	56.848	35.782	66.606	59.206	7.179	54.035
methionine-tRNA ligase activity	FC (WS / NS)	-0.08 (13.32 / 14.1)	0.11 (6.36 / 5.84)	0.03 (8.41 / 8.23)	-	-0.42 (-5.69 / -7.29)	0.04 (6.66 / 6.43)
 	Percentile (%)	56.895	34.167	42.802	-	82.379	48.797
acyl carrier activity	FC (WS / NS)	-0.08 (2.4 / 2.58)	-0.51 (3.58 / 5.52)	-0.06 (5.73 / 6.02)	-	-0.13 (-7.2 / -7.79)	-0.01 (6 / 6.03)
 	Percentile (%)	56.989	68.473	74.296	-	59.536	59.774
ACP phosphopantetheine attachment site binding	FC (WS / NS)	-0.08 (2.4 / 2.58)	-0.43 (4.58 / 6.52)	-0.05 (6.73 / 7.02)	-	-0.16 (-6.2 / -6.79)	-0.01 (6 / 6.03)
 	Percentile (%)	57.036	66.548	73.838	-	61.566	59.799
prosthetic group binding	FC (WS / NS)	-0.08 (2.4 / 2.58)	-0.39 (5.17 / 7.11)	-0.05 (7.31 / 7.61)	-	-0.17 (-5.61 / -6.21)	-0.01 (6 / 6.03)
 	Percentile (%)	57.083	65.926	73.472	-	63.162	59.825
molecular carrier activity	FC (WS / NS)	-0.08 (2.4 / 2.58)	-0.46 (3.91 / 5.74)	-0.03 (5.95 / 6.11)	-	-0.13 (-7.2 / -7.79)	0.03 (6.29 / 6.13)
 	Percentile (%)	57.129	67.557	72.076	-	59.608	51.378
protein disulfide oxidoreductase activity	FC (WS / NS)	-0.08 (11.26 / 11.97)	-0.18 (2.58 / 3.08)	-0.01 (10.85 / 10.9)	-	0.25 (-6.8 / -5.87)	0.02 (8.23 / 8.09)
 	Percentile (%)	57.505	60.211	66.56	-	15.301	53.158
disulfide oxidoreductase activity	FC (WS / NS)	-0.08 (11.38 / 12.11)	0.29 (7.77 / 6.15)	0.03 (12.67 / 12.39)	-0.02 (8.54 / 8.66)	0.31 (-5.8 / -4.87)	0.03 (8.6 / 8.41)
 	Percentile (%)	57.739	20.686	42.504	54.159	11.965	51.83
endopeptidase activity	FC (WS / NS)	-0.09 (14.87 / 15.85)	0.11 (8.47 / 7.79)	0.08 (14.26 / 13.47)	0.11 (9.97 / 9.16)	-0.47 (-5.27 / -6.91)	0.08 (9.71 / 9.11)
 	Percentile (%)	57.833	34.105	34.012	31.111	83.611	39.975
flavin adenine dinucleotide binding	FC (WS / NS)	-0.09 (17.14 / 18.3)	-0.39 (4.95 / 6.82)	-0.06 (14.47 / 15.16)	-0.12 (9.48 / 10.42)	-0.42 (-4.34 / -5.45)	-0.09 (9.69 / 10.42)
 	Percentile (%)	57.88	66.051	74.388	64.794	81.871	67.92
UDP-glucose 4-epimerase activity	FC (WS / NS)	-0.09 (10.51 / 11.28)	1 (5.46 / 2.23)	-0.08 (7.02 / 7.48)	-	-	0.13 (6.54 / 5.91)
 	Percentile (%)	58.068	7.92	75.326	-	-	35.789
glycine-tRNA ligase activity	FC (WS / NS)	-0.09 (11.23 / 12.06)	-0.07 (6.3 / 6.65)	-0.06 (8.62 / 8.99)	-	-0.01 (-9.65 / -9.68)	-0.05 (7.24 / 7.56)
 	Percentile (%)	58.114	56.437	73.999	-	46.918	64.662
gated channel activity	FC (WS / NS)	-0.1 (10.13 / 10.91)	-0.48 (3.58 / 5.4)	0.54 (6 / 3.81)	-	-	0.04 (7.16 / 6.92)
 	Percentile (%)	58.724	67.883	15.129	-	-	48.822
carbon-carbon lyase activity	FC (WS / NS)	-0.1 (15.8 / 16.98)	-0.1 (9.92 / 10.68)	-0.03 (16.65 / 17.02)	-0.08 (11.75 / 12.49)	0.25 (0.55 / 0.3)	-0.09 (10.72 / 11.49)
 	Percentile (%)	58.959	57.229	71.962	59.365	15.373	67.769
methyltransferase activity	FC (WS / NS)	-0.1 (12.92 / 13.92)	0.22 (9.39 / 7.92)	0.03 (14.94 / 14.58)	0.14 (9.81 / 8.83)	-0.05 (-4.73 / -4.86)	0.06 (9.41 / 8.96)
 	Percentile (%)	59.006	22.985	41.863	27.651	51.269	44.712
sulfur compound binding	FC (WS / NS)	-0.11 (16.48 / 17.81)	-0.45 (4.81 / 6.92)	-0.08 (13.76 / 14.58)	-0.08 (10.41 / 11.04)	-0.38 (-5.16 / -6.41)	-0.07 (9.63 / 10.15)
 	Percentile (%)	59.428	67.293	75.28	59.048	79.913	65.915
peroxidase activity	FC (WS / NS)	-0.11 (10.67 / 11.57)	0.35 (7.4 / 5.61)	0.07 (9.75 / 9.27)	-1.29 (1 / 3.91)	0.37 (-4.97 / -4.08)	0.09 (8.68 / 8.07)
 	Percentile (%)	59.475	18.838	35.248	87.333	10.442	39.023
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	FC (WS / NS)	-0.11 (13.71 / 14.84)	-0.29 (4.32 / 5.52)	-0.04 (10.41 / 10.71)	-2.37 (0 / 4.17)	0.3 (-3.23 / -2.81)	0.03 (7.77 / 7.56)
 	Percentile (%)	59.662	62.991	72.648	93.206	12.11	50.401
arginine deiminase activity	FC (WS / NS)	-0.11 (13.71 / 14.84)	-0.27 (3 / 3.81)	0.02 (7.5 / 7.38)	-	0.26 (-3.55 / -3.13)	0.03 (7.74 / 7.55)
 	Percentile (%)	59.709	62.308	45.777	-	14.576	51.003
peptidoglycan muralytic activity	FC (WS / NS)	-0.11 (8.32 / 9.04)	-1.97 (0 / 2.91)	-0.14 (7.23 / 8.08)	-0.14 (5.17 / 5.78)	0.23 (-6.52 / -5.72)	-0.01 (6.39 / 6.44)
 	Percentile (%)	59.756	90.822	78.233	65.651	17.621	60.326
serine-tRNA ligase activity	FC (WS / NS)	-0.11 (11.36 / 12.32)	0.02 (6.7 / 6.62)	0 (6.77 / 6.74)	-	-0.13 (-5.32 / -5.73)	0.01 (7.17 / 7.1)
 	Percentile (%)	59.803	44.805	51.133	-	59.463	55.439
thiamine pyrophosphate binding	FC (WS / NS)	-0.11 (16.44 / 17.81)	-1.42 (1 / 4.36)	-0.07 (12.29 / 12.99)	-0.13 (9.04 / 9.97)	-0.34 (-5.8 / -7.1)	-0.13 (9.12 / 10.04)
 	Percentile (%)	59.897	84.936	75.097	65.238	78.028	70.1
CTP synthase activity	FC (WS / NS)	-0.11 (10.07 / 10.94)	0.36 (5.91 / 4.36)	0.27 (5.88 / 4.7)	0.34 (6.09 / 4.58)	-	0.28 (6.23 / 4.95)
 	Percentile (%)	59.991	18.543	20.966	16.19	-	20.326
1,4-dihydroxy-2-naphthoyl-CoA synthase activity	FC (WS / NS)	-0.11 (4.72 / 5.17)	0.08 (3.46 / 3.23)	0.14 (3.58 / 3.17)	-	-	0.17 (3.91 / 3.36)
 	Percentile (%)	60.038	36.108	28.542	-	-	27.368
tripeptidase activity	FC (WS / NS)	-0.11 (10.18 / 11.07)	0.13 (7 / 6.3)	0.01 (7.49 / 7.41)	0.13 (6.95 / 6.25)	-	0.11 (6.21 / 5.69)
 	Percentile (%)	60.366	33.313	47.333	28.095	-	37.619
tripeptide aminopeptidase activity	FC (WS / NS)	-0.11 (10.18 / 11.07)	0.15 (6 / 5.3)	0.02 (6.49 / 6.41)	0.15 (5.95 / 5.25)	-	0.11 (6.21 / 5.69)
 	Percentile (%)	60.413	24.895	46.83	26.032	-	37.644
tetrahydrofolylpolyglutamate synthase activity	FC (WS / NS)	-0.11 (7.06 / 7.71)	1.51 (1.58 / -0.09)	0.02 (7.49 / 7.37)	-	-	0.08 (5.13 / 4.81)
 	Percentile (%)	60.507	4.97	45.159	-	-	41.153
transferase activity, transferring alkyl or aryl (other than methyl) groups	FC (WS / NS)	-0.11 (13.24 / 14.4)	0.01 (7.3 / 7.22)	0 (13.26 / 13.21)	0 (8.59 / 8.61)	-0.5 (-3.01 / -3.84)	-0.02 (9.19 / 9.3)
 	Percentile (%)	60.6	44.914	51.316	52.381	84.554	61.028
iron-sulfur cluster binding	FC (WS / NS)	-0.12 (18.14 / 19.73)	0.1 (8.7 / 8.08)	-0.03 (17.07 / 17.47)	-0.07 (11.66 / 12.33)	-0.39 (-2.67 / -3.18)	-0.1 (10.65 / 11.52)
 	Percentile (%)	60.788	34.695	72.007	58.73	80.783	68.571
metal cluster binding	FC (WS / NS)	-0.12 (18.14 / 19.73)	0.1 (9.26 / 8.57)	-0.03 (17.89 / 18.35)	-0.07 (12.26 / 12.92)	-0.75 (-1.78 / -2.32)	-0.1 (10.65 / 11.52)
 	Percentile (%)	60.835	34.415	72.374	58.159	91.08	68.596
amidine-lyase activity	FC (WS / NS)	-0.12 (12.07 / 13.17)	0.55 (6.67 / 4.23)	0.1 (8.23 / 7.61)	0.16 (7.53 / 6.61)	-0.3 (-7.9 / -9.47)	0.14 (7.3 / 6.52)
 	Percentile (%)	60.882	15.189	31.678	25.524	75.272	34.812
acid-amino acid ligase activity	FC (WS / NS)	-0.12 (10.6 / 11.57)	0.01 (8.19 / 8.15)	0.04 (11.77 / 11.42)	0.12 (8.91 / 8.11)	-0.18 (-6.14 / -6.82)	0.07 (8.46 / 8)
 	Percentile (%)	60.929	45.846	40.421	29.365	63.524	41.88
4 iron, 4 sulfur cluster binding	FC (WS / NS)	-0.12 (18.1 / 19.72)	0.15 (7.61 / 6.78)	0.02 (14.73 / 14.55)	-0.08 (10.61 / 11.3)	-0.07 (-5.84 / -6.08)	-0.13 (9.97 / 11)
 	Percentile (%)	60.976	25.144	46.715	59.683	53.517	70.125
(R,R)-butanediol dehydrogenase activity	FC (WS / NS)	-0.12 (6.68 / 7.34)	-0.02 (3.17 / 3.23)	-	-	-	0.48 (6.41 / 4.3)
 	Percentile (%)	61.023	53.533	-	-	-	13.534
nucleobase-containing compound kinase activity	FC (WS / NS)	-0.12 (13.07 / 14.28)	0.06 (9.76 / 9.29)	0.05 (12.72 / 12.3)	0.09 (8.3 / 7.75)	-0.55 (-4.17 / -5.66)	0.07 (8.29 / 7.87)
 	Percentile (%)	61.069	38.096	39.597	34.762	86.004	44.236
nucleoside monophosphate kinase activity	FC (WS / NS)	-0.12 (13.07 / 14.28)	0 (7.94 / 7.91)	0.01 (8.13 / 8.09)	0.87 (5.55 / 2.58)	-0.39 (-5.76 / -7.25)	0.08 (8.04 / 7.57)
 	Percentile (%)	61.116	46.032	50.607	8.222	81.218	41.128
transketolase activity	FC (WS / NS)	-0.12 (8.18 / 8.98)	-0.03 (5 / 5.11)	-0.13 (7.79 / 8.61)	-	-	-0.14 (6.11 / 6.86)
 	Percentile (%)	61.163	54.154	77.935	-	-	70.727
N-acetylmuramoyl-L-alanine amidase activity	FC (WS / NS)	-0.12 (8.22 / 9.04)	-	-0.14 (7.23 / 8.05)	-0.46 (3.81 / 5.61)	0.23 (-6.52 / -5.72)	-0.21 (5.09 / 6.03)
 	Percentile (%)	61.21	-	78.141	78.286	17.549	74.11
valine-tRNA ligase activity	FC (WS / NS)	-0.12 (12.23 / 13.43)	0.19 (6.25 / 5.33)	0.17 (6.39 / 5.55)	0.12 (6.75 / 6.15)	-	0.09 (6.98 / 6.49)
 	Percentile (%)	61.304	23.746	25.956	30.032	-	39.273
