GO Term	Fold Change	Unipept	EggNOG	MEGAN	MetaGOmics	MPA	Prophane
 	Percentile (%)	45.338	73.459	67.773	29.683	66.651	-
active transmembrane transporter activity	FC (WS / NS)	0.06 (10.21 / 9.76)	0.05 (12.63 / 12.19)	0.02 (18.91 / 18.62)	0 (12.68 / 12.68)	0.01 (14.46 / 14.4)	-0.39 (0.63 / 1.15)
 	Percentile (%)	45.464	40.457	45.09	51.841	40.009	81.363
DNA topoisomerase type II (ATP-hydrolyzing) activity	FC (WS / NS)	0.06 (7.31 / 6.98)	0.09 (6.73 / 6.25)	0.03 (9.01 / 8.78)	0.09 (7.06 / 6.58)	0.18 (14.65 / 12.84)	-0.27 (-8.36 / -9.88)
 	Percentile (%)	45.614	34.804	41.794	34.857	17.12	72.661
antioxidant activity	FC (WS / NS)	0.06 (9.54 / 9.12)	0.24 (8.85 / 7.36)	0.06 (13.65 / 13.02)	0.06 (9.46 / 9.06)	-0.18 (11.17 / 12.8)	0.63 (-3.75 / -2.78)
 	Percentile (%)	45.739	22.597	35.798	40.476	65.385	5.656
oxidoreductase activity, acting on the CH-NH group of donors	FC (WS / NS)	0.06 (6.54 / 6.25)	0 (8.2 / 8.2)	-0.12 (12.25 / 13.36)	-0.18 (8.17 / 9.37)	-1.66 (2.98 / 11.63)	-
 	Percentile (%)	45.789	46.42	77.295	67.778	84.287	-
helicase activity	FC (WS / NS)	0.06 (8.67 / 8.3)	0.04 (7.8 / 7.53)	-0.01 (14.16 / 14.31)	0.45 (6.17 / 4.25)	-0.33 (9.88 / 12.68)	0.02 (-8.87 / -8.76)
 	Percentile (%)	45.815	41.109	69.055	13.111	72.702	43.292
phosphomannomutase activity	FC (WS / NS)	0.06 (7.2 / 6.88)	0.05 (7.65 / 7.36)	0.02 (7.99 / 7.85)	-0.14 (6.13 / 6.83)	0.23 (10.41 / 8.7)	-
 	Percentile (%)	45.84	40.177	44.45	65.587	15.432	-
oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.06 (10.53 / 10.09)	-0.16 (7.04 / 8.01)	0.03 (14.41 / 14.07)	-0.04 (11.77 / 12.13)	0.05 (17.6 / 17.01)	-0.89 (-2.03 / -2.91)
 	Percentile (%)	45.865	59.683	42.184	56.349	30.535	92.531
dTDP-glucose 4,6-dehydratase activity	FC (WS / NS)	0.06 (5.04 / 4.81)	0.24 (4.58 / 3.71)	-0.03 (4.58 / 4.7)	-	-0.3 (-0.19 / 0)	-
 	Percentile (%)	45.89	22.239	71.893	-	70.075	-
hydro-lyase activity	FC (WS / NS)	0.06 (11.07 / 10.61)	0.11 (9.97 / 9.15)	0.02 (16.21 / 16.01)	0.02 (11.48 / 11.27)	0.1 (21.21 / 19.68)	NaN (-0.79 / -1.25)
 	Percentile (%)	45.915	33.98	46.647	46	24.015	97.679
nuclease activity	FC (WS / NS)	0.06 (9.72 / 9.31)	-0.03 (10.48 / 10.7)	-0.05 (15.14 / 15.74)	0.04 (11.11 / 10.75)	0.06 (14.96 / 14.27)	-0.33 (-4.69 / -5.63)
 	Percentile (%)	45.94	54.17	73.701	43.397	28.612	76.577
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.06 (11.31 / 10.84)	0.07 (10.81 / 10.28)	0.05 (16.71 / 16.13)	0.09 (11.71 / 10.94)	0.06 (17.23 / 16.55)	0.9 (1.24 / 0.2)
 	Percentile (%)	46.015	37.972	38.933	34.159	29.55	3.553
ribulose-phosphate 3-epimerase activity	FC (WS / NS)	0.06 (4 / 3.81)	-1.32 (0 / 1.49)	-0.04 (3.58 / 3.7)	-	-0.6 (5.3 / 8.55)	-0.01 (-8.01 / -8.07)
 	Percentile (%)	46.04	83.305	72.465	-	78.096	48.513
ATPase coupled ion transmembrane transporter activity	FC (WS / NS)	0.05 (8.62 / 8.26)	0.06 (10.88 / 10.43)	0.02 (15.65 / 15.44)	0.01 (11.43 / 11.31)	-0.42 (9.92 / 13.64)	NaN (-1.48 / -0.83)
 	Percentile (%)	46.09	39.105	46.258	48.952	75.891	99.13
intramolecular oxidoreductase activity	FC (WS / NS)	0.05 (8.61 / 8.25)	0.11 (9.57 / 8.79)	0.03 (13.89 / 13.62)	0.09 (10.4 / 9.71)	0.1 (16.09 / 14.93)	NaN (-0.59 / -1.05)
 	Percentile (%)	46.115	34.043	43.374	34.095	24.109	97.752
uridylyltransferase activity	FC (WS / NS)	0.05 (7.15 / 6.85)	0.09 (7.91 / 7.39)	0.04 (8.87 / 8.61)	0.21 (6.55 / 5.52)	0.13 (13.08 / 11.87)	-0.24 (-4.82 / -5.51)
 	Percentile (%)	46.14	35.238	40.833	22.889	20.685	68.745
exopeptidase activity	FC (WS / NS)	0.05 (10.06 / 9.65)	-0.04 (8.21 / 8.46)	0.01 (14.88 / 14.72)	0.03 (10.58 / 10.36)	0.02 (15.39 / 15.2)	-0.55 (-3.8 / -5.11)
 	Percentile (%)	46.165	55.055	47.219	45.524	38.133	85.859
alanine dehydrogenase activity	FC (WS / NS)	0.05 (6.43 / 6.15)	0.09 (6.36 / 5.91)	0.05 (6.27 / 6.02)	0.09 (6.41 / 5.95)	0.19 (13.79 / 11.98)	-0.24 (-8.36 / -9.7)
 	Percentile (%)	46.19	34.881	38.59	33.651	16.276	68.963
N-acetyltransferase activity	FC (WS / NS)	0.05 (7.53 / 7.22)	0.01 (7.02 / 6.95)	0.03 (9.81 / 9.57)	1.1 (4.52 / 1.58)	0.13 (12.99 / 11.79)	-0.72 (-5.22 / -7.97)
 	Percentile (%)	46.316	45.085	41.909	6.73	20.779	90.21
chloride transmembrane transporter activity	FC (WS / NS)	0.05 (1.58 / 1.49)	-	-1.37 (0 / 1.58)	-	-	-
 	Percentile (%)	46.416	-	92.882	-	-	-
aconitate hydratase activity	FC (WS / NS)	0.05 (1.58 / 1.49)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	46.516	-	53.925	-	-	-
heparin binding	FC (WS / NS)	0.05 (1.58 / 1.49)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	46.591	75.307	-	-	-	-
L-arabinose isomerase activity	FC (WS / NS)	0.05 (1.58 / 1.49)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	46.617	-	56.535	-	-	-
holo-[acyl-carrier-protein] synthase activity	FC (WS / NS)	0.05 (1.58 / 1.49)	-	0 (0 / 0)	-	-	-
 	Percentile (%)	46.642	-	56.764	-	-	-
pentose transmembrane transporter activity	FC (WS / NS)	0.05 (1.58 / 1.49)	0.08 (6.75 / 6.35)	-0.95 (2.58 / 5.93)	-	-	-
 	Percentile (%)	46.742	36.077	88.144	-	-	-
D-ribose transmembrane transporter activity	FC (WS / NS)	0.05 (1.58 / 1.49)	0.08 (6.17 / 5.76)	-	-	-	-
 	Percentile (%)	46.767	35.533	-	-	-	-
5-formyltetrahydrofolate cyclo-ligase activity	FC (WS / NS)	0.05 (1.58 / 1.49)	-	-1 (0 / 1)	-0.25 (5.43 / 6.64)	-	-
 	Percentile (%)	46.892	-	89.975	70.73	-	-
ATP-dependent 3'-5' DNA helicase activity	FC (WS / NS)	0.05 (1.58 / 1.49)	-0.11 (3.46 / 3.81)	0 (0 / 0)	-	-0.3 (-0.19 / 0)	-
 	Percentile (%)	46.917	57.757	61.433	-	70.826	-
oxidoreductase activity, acting on CH-OH group of donors	FC (WS / NS)	0.05 (11.39 / 10.94)	0.05 (11.53 / 11.08)	0.04 (17.82 / 17.29)	0.08 (12.53 / 11.84)	0.05 (17.23 / 16.55)	0.58 (2.24 / 1.17)
 	Percentile (%)	47.018	39.773	40.33	36.476	29.644	6.309
protein binding	FC (WS / NS)	0.05 (11.46 / 11.01)	0.06 (11.79 / 11.31)	-0.71 (2 / 3.91)	0.03 (14.21 / 13.9)	0.05 (20.7 / 19.89)	-0.02 (-7.54 / -7.63)
 	Percentile (%)	47.043	39.276	87.205	45.333	29.597	49.456
organic anion transmembrane transporter activity	FC (WS / NS)	0.05 (7.5 / 7.19)	0 (6.58 / 6.61)	-0.2 (10.3 / 11.97)	0.03 (8.95 / 8.71)	-0.52 (6.15 / 9.27)	-0.01 (-7.39 / -7.45)
 	Percentile (%)	47.068	52.415	80.43	44.73	77.251	48.586
oxidoreductase activity, acting on CH or CH2 groups	FC (WS / NS)	0.05 (8.95 / 8.6)	0 (8.01 / 7.99)	0.03 (12.44 / 12.17)	0.05 (10.08 / 9.72)	0.11 (14.58 / 13.45)	-1.22 (-1.97 / -3.26)
 	Percentile (%)	47.243	46.218	42.641	42.698	22.842	94.054
malic enzyme activity	FC (WS / NS)	0.05 (7.65 / 7.34)	0.13 (7.71 / 6.95)	0.02 (10.3 / 10.14)	-1.48 (1 / 4.58)	0.03 (10.84 / 10.61)	-0.57 (-2.99 / -3.94)
 	Percentile (%)	47.293	33.328	45.48	88.381	36.538	86.512
carboxypeptidase activity	FC (WS / NS)	0.05 (6.95 / 6.67)	-0.46 (2.81 / 4.23)	-0.08 (8.71 / 9.29)	-2.68 (0 / 5.43)	1.58 (4.98 / 1)	-
 	Percentile (%)	47.444	67.542	75.463	97.333	7.176	-
GMP synthase (glutamine-hydrolyzing) activity	FC (WS / NS)	0.05 (6.71 / 6.44)	-1.72 (1 / 5.61)	0.06 (6.54 / 6.21)	-	-0.19 (11.7 / 13.53)	-0.34 (-7.55 / -9.31)
 	Percentile (%)	47.569	88.725	35.569	-	66.088	77.955
protein serine/threonine kinase activity	FC (WS / NS)	0.05 (6.79 / 6.53)	0.45 (5.13 / 3.49)	0.03 (11 / 10.77)	0.26 (6.02 / 4.86)	0.1 (10.81 / 10)	-0.08 (-9.7 / -10.22)
 	Percentile (%)	47.619	16.462	42.733	19.429	23.921	55.257
ionotropic glutamate receptor activity	FC (WS / NS)	0.05 (6.81 / 6.55)	-	-	-	-0.05 (10.13 / 10.52)	-
 	Percentile (%)	47.669	-	-	-	53.846	-
glutamate receptor activity	FC (WS / NS)	0.05 (6.81 / 6.55)	-	-	-	-0.05 (10.13 / 10.52)	-
 	Percentile (%)	47.694	-	-	-	53.94	-
transmitter-gated ion channel activity	FC (WS / NS)	0.05 (6.81 / 6.55)	-	-	-	-0.05 (10.13 / 10.52)	-
 	Percentile (%)	47.719	-	-	-	54.034	-
transmitter-gated channel activity	FC (WS / NS)	0.05 (6.81 / 6.55)	-	-	-	-0.05 (10.13 / 10.52)	-
 	Percentile (%)	47.744	-	-	-	54.128	-
neurotransmitter receptor activity	FC (WS / NS)	0.05 (6.81 / 6.55)	-0.93 (0 / 0.91)	-	-	-0.05 (10.13 / 10.52)	-
 	Percentile (%)	47.769	76.673	-	-	54.174	-
adenylosuccinate synthase activity	FC (WS / NS)	0.05 (6.82 / 6.56)	-2.08 (0 / 3.23)	0.06 (6.71 / 6.38)	-	0.17 (11.53 / 10.17)	0.1 (-8.21 / -7.74)
 	Percentile (%)	47.794	91.319	35.431	-	18.058	32.777
RNA helicase activity	FC (WS / NS)	0.05 (2 / 1.91)	0 (4.86 / 4.86)	-	0.45 (5.83 / 4)	-	-
 	Percentile (%)	48.045	51.965	-	13.079	-	-
1-acylglycerol-3-phosphate O-acyltransferase activity	FC (WS / NS)	0.05 (2 / 1.91)	-1.32 (0 / 1.49)	0.36 (2.32 / 1.58)	-	-	-
 	Percentile (%)	48.07	83.181	18.288	-	-	-
acylglycerol O-acyltransferase activity	FC (WS / NS)	0.05 (2 / 1.91)	-0.89 (1 / 2.71)	0.27 (3.32 / 2.58)	-	-	-
 	Percentile (%)	48.145	73.816	20.989	-	-	-
lysophosphatidic acid acyltransferase activity	FC (WS / NS)	0.05 (2 / 1.91)	-0.54 (1 / 1.91)	0.36 (2.32 / 1.58)	-	-	-
 	Percentile (%)	48.221	69.421	18.334	-	-	-
lysophospholipid acyltransferase activity	FC (WS / NS)	0.05 (2 / 1.91)	-0.31 (2 / 2.71)	0.36 (2.32 / 1.58)	-	-	-
 	Percentile (%)	48.271	63.41	18.357	-	-	-
catalytic activity, acting on a protein	FC (WS / NS)	0.05 (12.12 / 11.71)	-0.01 (11.06 / 11.15)	0.04 (18.29 / 17.78)	0.04 (13.23 / 12.87)	0.02 (17.72 / 17.44)	NaN (-0.92 / -1.77)
 	Percentile (%)	48.396	52.819	40.787	44.476	37.523	99.782
magnesium ion binding	FC (WS / NS)	0.05 (11.79 / 11.39)	0.06 (10.34 / 9.89)	0.03 (17.32 / 16.88)	0.03 (11.82 / 11.55)	0.08 (24.17 / 22.88)	-2.21 (-1.32 / -2.5)
 	Percentile (%)	48.446	38.95	41.52	45.206	26.173	95.722
ornithine decarboxylase activity	FC (WS / NS)	0.05 (7.51 / 7.25)	-0.29 (6.23 / 7.82)	-0.21 (7.59 / 8.93)	-0.1 (7.46 / 8.06)	0.03 (12.31 / 12.01)	0.71 (-7.24 / -4.82)
 	Percentile (%)	48.496	62.851	80.659	62	35.225	4.569
carboxylic acid binding	FC (WS / NS)	0.05 (9.39 / 9.07)	0.01 (7.88 / 7.8)	0 (14.86 / 14.91)	0.02 (10.41 / 10.24)	-0.03 (13.52 / 13.8)	0.06 (-1.67 / -1.64)
 	Percentile (%)	48.521	45.162	66.102	46.762	48.124	38.144
organic acid binding	FC (WS / NS)	0.05 (9.39 / 9.07)	0.01 (7.88 / 7.8)	0 (14.86 / 14.91)	0.02 (11.1 / 10.97)	-0.03 (13.52 / 13.8)	0.06 (-1.67 / -1.64)
 	Percentile (%)	48.546	45.178	66.125	48.317	48.171	38.216
phosphotransferase activity, phosphate group as acceptor	FC (WS / NS)	0.05 (10.06 / 9.72)	0.06 (10.39 / 9.95)	0.03 (13.74 / 13.49)	0.04 (9.91 / 9.62)	-0.05 (19.13 / 19.8)	0.01 (-2.59 / -2.58)
 	Percentile (%)	48.596	39.028	43.717	44.19	53.189	45.468
phosphotransferase activity, nitrogenous group as acceptor	FC (WS / NS)	0.04 (8.37 / 8.09)	0.22 (8.31 / 6.97)	0.05 (13.22 / 12.75)	0.22 (8.68 / 7.31)	0.04 (14.75 / 14.29)	-0.08 (-5.23 / -5.47)
 	Percentile (%)	48.747	22.876	38.865	22.444	31.848	54.822
methionine-tRNA ligase activity	FC (WS / NS)	0.04 (6.66 / 6.43)	0.11 (6.36 / 5.84)	0.03 (8.41 / 8.23)	-	-0.08 (13.32 / 14.1)	-0.42 (-5.69 / -7.29)
 	Percentile (%)	48.797	34.167	42.802	-	56.895	82.379
gated channel activity	FC (WS / NS)	0.04 (7.16 / 6.92)	-0.48 (3.58 / 5.4)	0.54 (6 / 3.81)	-	-0.1 (10.13 / 10.91)	-
 	Percentile (%)	48.822	67.883	15.129	-	58.724	-
intramolecular transferase activity, phosphotransferases	FC (WS / NS)	0.04 (10.02 / 9.7)	0.04 (10.33 / 10.01)	0.02 (12.56 / 12.33)	0.05 (9.72 / 9.38)	0.11 (15.71 / 14.49)	-0.46 (-5.13 / -6.69)
 	Percentile (%)	48.972	41.528	43.854	42.54	22.795	83.321
intramolecular transferase activity	FC (WS / NS)	0.04 (10.87 / 10.53)	-0.01 (10.98 / 11.09)	0.02 (15.41 / 15.16)	-0.05 (10.4 / 10.83)	0.1 (16.46 / 15.32)	1.64 (0.48 / -0.53)
 	Percentile (%)	49.123	53.005	44.541	57.111	24.531	1.015
proline-tRNA ligase activity	FC (WS / NS)	0.04 (6.32 / 6.11)	0.07 (6.11 / 5.76)	0.01 (6.04 / 5.98)	-	0 (13.5 / 13.51)	-
 	Percentile (%)	49.173	36.45	47.379	-	43.105	-
ATPase activity, coupled to transmembrane movement of substances	FC (WS / NS)	0.04 (9.22 / 8.94)	0.05 (11.42 / 11.02)	0.02 (16.63 / 16.38)	0.01 (11.96 / 11.86)	-0.26 (11.2 / 13.66)	-2.73 (-0.89 / -0.29)
 	Percentile (%)	49.348	40.565	45.251	49.302	68.715	95.939
tryptophan synthase activity	FC (WS / NS)	0.04 (4.64 / 4.49)	-	0.52 (5.58 / 3.58)	0.75 (4.58 / 2.32)	1.49 (1.81 / 0)	-
 	Percentile (%)	49.373	-	15.473	9.492	7.411	-
amide binding	FC (WS / NS)	0.04 (8.2 / 7.96)	-0.43 (4.58 / 6.52)	0 (10.9 / 10.9)	-0.09 (8.67 / 9.33)	0.01 (11.52 / 11.45)	-0.33 (-6.91 / -8.43)
 	Percentile (%)	49.424	66.563	52.873	61.365	39.54	76.795
zinc ion binding	FC (WS / NS)	0.04 (11.13 / 10.8)	-0.01 (10.32 / 10.37)	0.01 (17.36 / 17.25)	0.01 (11.08 / 10.99)	-0.01 (19.87 / 20.01)	-1.66 (-1.59 / -2.85)
 	Percentile (%)	49.449	52.695	49.508	49.46	45.356	95.069
oxidoreductase activity, acting on peroxide as acceptor	FC (WS / NS)	0.04 (8.92 / 8.66)	0.32 (8.4 / 6.52)	0.05 (10.99 / 10.55)	-1.29 (1 / 3.91)	-0.17 (11.03 / 12.54)	0.63 (-3.75 / -2.78)
 	Percentile (%)	49.549	19.553	37.583	87.397	64.822	5.729
proton transmembrane transporter activity	FC (WS / NS)	0.04 (9.68 / 9.4)	0.05 (10.48 / 10.06)	0.03 (15.38 / 15.02)	-0.01 (10.71 / 10.8)	-0.05 (19.1 / 19.77)	0.99 (-1.99 / -1.5)
 	Percentile (%)	49.624	39.804	41.978	53.302	52.72	3.263
phosphoglycerate dehydrogenase activity	FC (WS / NS)	0.04 (2.58 / 2.49)	0.39 (5.64 / 4.08)	0 (2 / 2)	-	-	-
 	Percentile (%)	49.699	18.233	54.429	-	-	-
phosphoglucosamine mutase activity	FC (WS / NS)	0.04 (6.49 / 6.3)	0.07 (6.11 / 5.79)	0.02 (7.99 / 7.85)	-	0.33 (11.78 / 9.16)	-
 	Percentile (%)	49.825	37.91	44.472	-	12.946	-
cation-transporting ATPase activity	FC (WS / NS)	0.04 (7.82 / 7.59)	0.06 (9.73 / 9.27)	0.02 (14.22 / 14.01)	-0.02 (10.16 / 10.3)	-0.43 (9.78 / 13.49)	0.56 (-3.03 / -2.37)
 	Percentile (%)	49.875	38.22	45.686	54.095	75.938	6.381
isomerase activity	FC (WS / NS)	0.04 (11.99 / 11.66)	0.02 (12.56 / 12.36)	0.02 (18.5 / 18.29)	0.02 (12.6 / 12.45)	0.07 (18.15 / 17.26)	0.45 (2.26 / 1.39)
 	Percentile (%)	49.95	44.029	46.921	48.54	28.189	8.194
peptidase activity, acting on L-amino acid peptides	FC (WS / NS)	0.04 (11.24 / 10.93)	0.02 (10.27 / 10.16)	0.04 (17.43 / 16.95)	0.04 (12.35 / 11.97)	-0.04 (16.4 / 16.89)	-1.09 (-1.95 / -3.02)
 	Percentile (%)	50.05	44.867	40.856	43.524	50.422	93.328
DNA-directed 5'-3' RNA polymerase activity	FC (WS / NS)	0.04 (9.98 / 9.71)	0.02 (8.7 / 8.57)	0.01 (13.03 / 12.93)	0.02 (9.53 / 9.38)	0 (19.7 / 19.72)	0.03 (-7.23 / -7.1)
 	Percentile (%)	50.1	44.293	49.439	46.984	43.48	42.422
oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor	FC (WS / NS)	0.04 (7.71 / 7.5)	0.15 (8.38 / 7.42)	0.08 (12.72 / 11.98)	0 (7.97 / 7.97)	0.07 (12.31 / 11.64)	-0.35 (-3.63 / -4.35)
 	Percentile (%)	50.15	24.849	33.692	51.968	26.501	78.245
cobyrinic acid a,c-diamide synthase activity	FC (WS / NS)	0.03 (3 / 2.91)	-	-0.26 (2 / 2.58)	-	-0.14 (0.81 / 1)	-
 	Percentile (%)	50.276	-	81.987	-	63.649	-
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines	FC (WS / NS)	0.03 (7.77 / 7.56)	-0.29 (4.32 / 5.52)	-0.04 (10.41 / 10.71)	-2.37 (0 / 4.17)	-0.11 (13.71 / 14.84)	0.3 (-3.23 / -2.81)
 	Percentile (%)	50.401	62.991	72.648	93.206	59.662	12.11
5'-3' RNA polymerase activity	FC (WS / NS)	0.03 (10.01 / 9.75)	0.02 (9.69 / 9.57)	0.01 (14.02 / 13.93)	0.02 (10.53 / 10.38)	0 (19.7 / 19.72)	0.02 (-6.66 / -6.58)
 	Percentile (%)	50.576	44.603	49.783	47.714	43.527	43.582
RNA polymerase activity	FC (WS / NS)	0.03 (10.01 / 9.75)	0.02 (9.69 / 9.57)	0.01 (14.02 / 13.93)	0.02 (11.11 / 10.96)	0 (19.7 / 19.72)	0.02 (-6.66 / -6.58)
 	Percentile (%)	50.602	44.619	49.805	47.968	43.574	43.655
carbohydrate derivative transmembrane transporter activity	FC (WS / NS)	0.03 (6.07 / 5.91)	-0.15 (3.91 / 4.43)	-0.13 (7.59 / 8.4)	-0.94 (3.32 / 7.29)	-0.86 (4.57 / 9.13)	-0.01 (-7.39 / -7.45)
 	Percentile (%)	50.677	59.077	77.958	84.159	80.582	49.021
Rho GTPase binding	FC (WS / NS)	0.03 (3.17 / 3.08)	-	-	-	-	-
 	Percentile (%)	50.802	-	-	-	-	-
transferase activity, transferring phosphorus-containing groups	FC (WS / NS)	0.03 (12.93 / 12.61)	0.03 (12.94 / 12.62)	0.03 (20.68 / 20.3)	0.04 (13.77 / 13.4)	0 (21.54 / 21.52)	0.2 (3.08 / 2.54)
 	Percentile (%)	50.827	42.507	43.671	44.571	40.994	20.16
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	FC (WS / NS)	0.03 (5.7 / 5.55)	0.1 (5 / 4.61)	0.05 (5.29 / 5.09)	-	-3.35 (0 / 9.21)	-
 	Percentile (%)	50.852	34.508	39.3	-	95.872	-
aspartate-tRNA ligase activity	FC (WS / NS)	0.03 (7.09 / 6.91)	0.03 (6.66 / 6.48)	-0.08 (7.92 / 8.4)	-	-0.15 (13.1 / 14.67)	-
 	Percentile (%)	50.877	42.274	75.212	-	63.977	-
aspartate carbamoyltransferase activity	FC (WS / NS)	0.03 (6.82 / 6.65)	-	-0.03 (10.63 / 10.84)	0.13 (6.55 / 5.91)	0.05 (9.99 / 9.64)	0.03 (-6.3 / -6.2)
 	Percentile (%)	50.977	-	71.389	28.603	30.582	43.002
arginine deiminase activity	FC (WS / NS)	0.03 (7.74 / 7.55)	-0.27 (3 / 3.81)	0.02 (7.5 / 7.38)	-	-0.11 (13.71 / 14.84)	0.26 (-3.55 / -3.13)
 	Percentile (%)	51.003	62.308	45.777	-	59.709	14.576
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	FC (WS / NS)	0.03 (8.49 / 8.28)	0.33 (8.09 / 6.23)	0 (13.53 / 13.54)	0.05 (7.62 / 7.32)	0.01 (13.6 / 13.52)	0.24 (-6.2 / -5.4)
 	Percentile (%)	51.028	19.273	65.278	41.778	39.681	16.171
malate dehydrogenase (decarboxylating) (NAD+) activity	FC (WS / NS)	0.03 (6.87 / 6.7)	-	-	-	0.04 (10.79 / 10.46)	-
 	Percentile (%)	51.078	-	-	-	32.458	-
alanine-tRNA ligase activity	FC (WS / NS)	0.03 (7.19 / 7.01)	0.08 (6.73 / 6.33)	0.04 (6.81 / 6.58)	-	0 (13.94 / 13.93)	-0.57 (-5.69 / -7.93)
 	Percentile (%)	51.103	36.248	40.261	-	40.854	86.439
transferase activity, transferring one-carbon groups	FC (WS / NS)	0.03 (10.48 / 10.24)	0.14 (9.79 / 8.81)	0 (16.41 / 16.4)	0.04 (10.59 / 10.31)	-0.06 (14.01 / 14.69)	-0.12 (-1.48 / -1.53)
 	Percentile (%)	51.178	33.157	52.667	44.635	56.098	58.521
ligase activity	FC (WS / NS)	0.03 (12.37 / 12.09)	0 (12.89 / 12.92)	0 (19.13 / 19.09)	0.03 (13.07 / 12.82)	-0.04 (17.22 / 17.72)	0.77 (1.38 / 0.4)
 	Percentile (%)	51.228	52.337	51.934	45.841	49.812	4.061
molecular carrier activity	FC (WS / NS)	0.03 (6.29 / 6.13)	-0.46 (3.91 / 5.74)	-0.03 (5.95 / 6.11)	-	-0.08 (2.4 / 2.58)	-0.13 (-7.2 / -7.79)
 	Percentile (%)	51.378	67.557	72.076	-	57.129	59.608
Ras GTPase binding	FC (WS / NS)	0.03 (3.58 / 3.49)	0.88 (3.58 / 1.49)	-	-	-	-
 	Percentile (%)	51.529	12.471	-	-	-	-
small GTPase binding	FC (WS / NS)	0.03 (3.58 / 3.49)	0.81 (4.09 / 1.91)	-	-	-	-
 	Percentile (%)	51.554	12.875	-	-	-	-
primary active transmembrane transporter activity	FC (WS / NS)	0.03 (9.28 / 9.07)	0.04 (12.22 / 11.85)	0.02 (18.06 / 17.81)	0 (12.34 / 12.32)	-0.27 (11.2 / 13.66)	-0.59 (0.11 / 0.67)
 	Percentile (%)	51.579	41.497	46.052	51.397	68.809	86.875
fructose-bisphosphate aldolase activity	FC (WS / NS)	0.03 (8.67 / 8.48)	-0.68 (3 / 5.43)	0.02 (10.18 / 10.01)	-	-0.01 (15.05 / 15.18)	-0.52 (-6.16 / -8.41)
 	Percentile (%)	51.604	71.471	44.953	-	45.732	84.989
ubiquitin-protein transferase activity	FC (WS / NS)	0.03 (3.7 / 3.61)	0.07 (1 / 0.91)	0.37 (1.58 / 1)	-	-	-
 	Percentile (%)	51.679	36.807	17.762	-	-	-
ubiquitin-like protein transferase activity	FC (WS / NS)	0.03 (3.7 / 3.61)	0.05 (2 / 1.91)	0.26 (2.58 / 2)	-	-	-
 	Percentile (%)	51.704	40.674	21.675	-	-	-
disulfide oxidoreductase activity	FC (WS / NS)	0.03 (8.6 / 8.41)	0.29 (7.77 / 6.15)	0.03 (12.67 / 12.39)	-0.02 (8.54 / 8.66)	-0.08 (11.38 / 12.11)	0.31 (-5.8 / -4.87)
 	Percentile (%)	51.83	20.686	42.504	54.159	57.739	11.965
catalytic activity, acting on RNA	FC (WS / NS)	0.03 (12.22 / 11.96)	0.01 (12.3 / 12.26)	0 (16.79 / 16.81)	0.02 (13.19 / 12.95)	-0.01 (20 / 20.1)	NaN (-0.91 / -1.71)
 	Percentile (%)	51.88	45.97	65.461	46.095	44.653	99.855
ion channel activity	FC (WS / NS)	0.03 (9.75 / 9.54)	0.05 (9.02 / 8.66)	0.02 (13.21 / 12.97)	0.02 (9.49 / 9.33)	-0.05 (19.11 / 19.77)	0.3 (-3.18 / -2.76)
 	Percentile (%)	51.905	39.727	44.038	46.476	52.955	12.4
deacetylase activity	FC (WS / NS)	0.03 (6.46 / 6.31)	0.19 (4.58 / 3.91)	-0.04 (10.57 / 10.87)	-0.44 (4.86 / 6.93)	0.14 (4.77 / 4.25)	-
 	Percentile (%)	51.93	24.072	72.602	77.873	20.356	-
kinase activity	FC (WS / NS)	0.03 (11.75 / 11.5)	0.04 (11.07 / 10.72)	0.03 (18.69 / 18.27)	0.05 (12.08 / 11.61)	0.02 (20.33 / 20.05)	0.49 (1.69 / 0.92)
 	Percentile (%)	51.955	41.373	42.275	41.333	37.852	7.469
inorganic molecular entity transmembrane transporter activity	FC (WS / NS)	0.03 (10.45 / 10.23)	0.03 (11.65 / 11.38)	0.01 (17.26 / 17.08)	0.01 (12.56 / 12.47)	-0.05 (19.11 / 19.79)	-2.51 (-0.89 / -0.37)
 	Percentile (%)	52.105	42.802	47.311	49.81	53.377	95.794
proton channel activity	FC (WS / NS)	0.03 (9.48 / 9.28)	0.07 (9 / 8.52)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	-0.05 (19.1 / 19.77)	0.3 (-3.18 / -2.76)
 	Percentile (%)	52.18	36.574	44.106	48.063	52.814	12.545
proton-transporting ATP synthase activity, rotational mechanism	FC (WS / NS)	0.03 (9.48 / 9.28)	0.07 (9 / 8.52)	0.02 (13.2 / 12.96)	0.02 (9.25 / 9.13)	-0.05 (19.1 / 19.77)	0.3 (-3.18 / -2.76)
