GO Term	Fold Change	Prophane	EggNOG	MEGAN	MetaGOmics	MPA	Unipept
ATPase-coupled molybdate transmembrane transporter activity	FC (WS / NS)	0.03 (-8.22 / -8.08)	-	-0.09 (3.32 / 3.58)	-	-	-
 	Percentile (%)	42.93	-	75.624	-	-	-
aspartate carbamoyltransferase activity	FC (WS / NS)	0.03 (-6.3 / -6.2)	-	-0.03 (10.63 / 10.84)	0.13 (6.55 / 5.91)	0.05 (9.99 / 9.64)	0.03 (6.82 / 6.65)
 	Percentile (%)	43.002	-	71.389	28.603	30.582	50.977
thioredoxin peroxidase activity	FC (WS / NS)	0.03 (-8.49 / -8.36)	0.56 (6.38 / 3.99)	0.52 (6.43 / 4.17)	-	-0.04 (5.98 / 6.17)	0.56 (6.51 / 4.08)
 	Percentile (%)	43.075	15.158	15.45	-	49.531	11.654
helicase activity	FC (WS / NS)	0.02 (-8.87 / -8.76)	0.04 (7.8 / 7.53)	-0.01 (14.16 / 14.31)	0.45 (6.17 / 4.25)	-0.33 (9.88 / 12.68)	0.06 (8.67 / 8.3)
 	Percentile (%)	43.292	41.109	69.055	13.111	72.702	45.815
DNA helicase activity	FC (WS / NS)	0.02 (-10.9 / -10.77)	0.1 (6.29 / 5.79)	0.08 (10.47 / 9.81)	0.92 (3.91 / 1.58)	-0.03 (3.9 / 4)	-0.09 (5.7 / 6.11)
 	Percentile (%)	43.437	34.322	33.326	7.651	48.452	67.293
5'-3' RNA polymerase activity	FC (WS / NS)	0.02 (-6.66 / -6.58)	0.02 (9.69 / 9.57)	0.01 (14.02 / 13.93)	0.02 (10.53 / 10.38)	0 (19.7 / 19.72)	0.03 (10.01 / 9.75)
 	Percentile (%)	43.582	44.603	49.783	47.714	43.527	50.576
RNA polymerase activity	FC (WS / NS)	0.02 (-6.66 / -6.58)	0.02 (9.69 / 9.57)	0.01 (14.02 / 13.93)	0.02 (11.11 / 10.96)	0 (19.7 / 19.72)	0.03 (10.01 / 9.75)
 	Percentile (%)	43.655	44.619	49.805	47.968	43.574	50.602
xanthine dehydrogenase activity	FC (WS / NS)	0.01 (-8.8 / -8.72)	1.51 (1.58 / -0.09)	0.61 (6 / 3.58)	0.24 (5.09 / 4.17)	0.21 (3.14 / 2.58)	0.15 (5.04 / 4.43)
 	Percentile (%)	44.017	4.985	14.42	21.397	15.901	28.496
polyribonucleotide nucleotidyltransferase activity	FC (WS / NS)	0.01 (-9.77 / -9.72)	-0.14 (6.41 / 7.15)	-0.15 (6.49 / 7.34)	-0.12 (6.58 / 7.25)	-0.14 (13.3 / 14.77)	-0.14 (6.74 / 7.53)
 	Percentile (%)	44.453	58.876	78.759	64.571	63.696	70.476
exoribonuclease activity	FC (WS / NS)	0.01 (-10.18 / -10.14)	-0.12 (8.06 / 8.84)	-0.11 (9.79 / 10.66)	0.34 (6.77 / 5.13)	0.17 (13.36 / 11.79)	0.22 (7.02 / 5.91)
 	Percentile (%)	44.743	58.239	77.066	16.222	17.871	24.01
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	FC (WS / NS)	0.01 (-10.18 / -10.14)	-0.08 (8.33 / 8.87)	-0.07 (11.01 / 11.61)	0.08 (8.68 / 8.13)	0.17 (13.36 / 11.79)	0.16 (7.41 / 6.52)
 	Percentile (%)	44.815	56.903	74.868	35.206	17.917	27.92
metalloexopeptidase activity	FC (WS / NS)	0.01 (-10.33 / -10.28)	-2.75 (0 / 5.74)	-0.1 (9.66 / 10.44)	-0.4 (6.21 / 8.54)	-0.68 (8.21 / 13.8)	-0.24 (6.48 / 7.82)
 	Percentile (%)	44.888	97.173	76.677	76.825	79.315	75.163
heme binding	FC (WS / NS)	0.01 (-10.6 / -10.55)	-0.03 (6.19 / 6.33)	0.05 (11.02 / 10.59)	-0.23 (6.17 / 7.39)	0.13 (9.03 / 8.17)	-0.01 (6.7 / 6.78)
 	Percentile (%)	44.96	54.232	37.903	69.81	20.919	60.777
exoribonuclease activity, producing 5'-phosphomonoesters	FC (WS / NS)	0.01 (-10.77 / -10.72)	-0.13 (7.46 / 8.25)	-0.12 (8.94 / 9.81)	0.34 (6.77 / 5.13)	0.17 (13.36 / 11.79)	0.22 (7.02 / 5.91)
 	Percentile (%)	45.105	58.643	77.638	16.286	17.964	24.035
3'-5'-exoribonuclease activity	FC (WS / NS)	0.01 (-11.77 / -11.72)	-0.15 (6.46 / 7.25)	-0.15 (6.49 / 7.34)	-	-2.81 (0 / 6)	-
 	Percentile (%)	45.25	59.093	78.737	-	89.353	-
ATP-dependent helicase activity	FC (WS / NS)	0.01 (-11.77 / -11.72)	-0.01 (5.49 / 5.55)	-0.03 (11.81 / 12.07)	-	-	-0.14 (3.17 / 3.61)
 	Percentile (%)	45.323	52.959	71.847	-	-	70.702
phosphotransferase activity, phosphate group as acceptor	FC (WS / NS)	0.01 (-2.59 / -2.58)	0.06 (10.39 / 9.95)	0.03 (13.74 / 13.49)	0.04 (9.91 / 9.62)	-0.05 (19.13 / 19.8)	0.05 (10.06 / 9.72)
 	Percentile (%)	45.468	39.028	43.717	44.19	53.189	48.596
nitrate reductase activity	FC (WS / NS)	0 (-8.81 / -8.78)	-1.04 (2 / 5.15)	-0.05 (8.48 / 8.81)	0.09 (6.38 / 5.91)	-0.06 (11.44 / 12)	0.09 (6.61 / 6.15)
 	Percentile (%)	45.758	80.696	73.358	33.333	56.051	39.323
arsenite transmembrane transporter activity	FC (WS / NS)	0 (-11 / -11.03)	-	-	-	-	-
 	Percentile (%)	46.338	-	-	-	-	-
protein kinase activity	FC (WS / NS)	0 (-7.18 / -7.2)	-0.29 (6.41 / 8.04)	0.02 (13.54 / 13.31)	0.19 (8.34 / 7.19)	0.1 (10.94 / 10.12)	-0.03 (8.4 / 8.58)
 	Percentile (%)	46.555	62.836	44.495	24.286	23.874	62.682
acid phosphatase activity	FC (WS / NS)	0 (-10.4 / -10.43)	0.82 (4.7 / 2.23)	1 (3 / 1)	-0.62 (3 / 5.13)	0.24 (6.3 / 5.17)	-0.13 (5.09 / 5.66)
 	Percentile (%)	46.628	12.828	8.721	80.921	14.916	70.15
phosphatase activity	FC (WS / NS)	-0.01 (-9.4 / -9.43)	-0.06 (7.91 / 8.26)	0.02 (12.03 / 11.89)	-0.07 (7.61 / 8.04)	-0.68 (6.32 / 10.74)	-0.07 (7.5 / 7.91)
 	Percentile (%)	46.773	55.925	46.899	58.19	79.174	65.564
glycine-tRNA ligase activity	FC (WS / NS)	-0.01 (-9.65 / -9.68)	-0.07 (6.3 / 6.65)	-0.06 (8.62 / 8.99)	-	-0.09 (11.23 / 12.06)	-0.05 (7.24 / 7.56)
 	Percentile (%)	46.918	56.437	73.999	-	58.114	64.662
phosphatidylinositol phospholipase C activity	FC (WS / NS)	-0.01 (-8.7 / -8.73)	-	-	-	-	-1.04 (2 / 5.15)
 	Percentile (%)	46.991	-	-	-	-	93.885
phospholipase C activity	FC (WS / NS)	-0.01 (-7.7 / -7.73)	-	-	-	-	-1.04 (2 / 5.15)
 	Percentile (%)	47.063	-	-	-	-	93.91
phospholipase activity	FC (WS / NS)	-0.01 (-7.11 / -7.15)	0.07 (1 / 0.91)	-2.11 (0 / 3.32)	-2.11 (0 / 3.32)	-0.3 (-0.19 / 0)	-0.66 (3 / 5.33)
 	Percentile (%)	47.136	36.791	96.956	90.762	69.653	87.794
lipase activity	FC (WS / NS)	-0.01 (-6.7 / -6.73)	0.05 (1.58 / 1.49)	0.15 (4.81 / 4.25)	-1.43 (1 / 4.39)	-0.3 (-0.19 / 0)	-0.66 (3 / 5.33)
 	Percentile (%)	47.208	39.494	27.878	88.222	70.356	87.82
glycogen (starch) synthase activity	FC (WS / NS)	-0.01 (-11.14 / -11.2)	-0.2 (3 / 3.61)	-	-	-0.04 (6.15 / 6.34)	-0.18 (3.81 / 4.43)
 	Percentile (%)	47.281	60.739	-	-	49.203	73.233
UDP-glycosyltransferase activity	FC (WS / NS)	-0.01 (-11.14 / -11.2)	0.08 (6.46 / 6.08)	0.05 (8.29 / 7.95)	-	-0.04 (6.15 / 6.34)	-0.04 (5.86 / 6.03)
 	Percentile (%)	47.353	36.17	37.606	-	49.25	63.459
starch synthase activity	FC (WS / NS)	-0.01 (-11.14 / -11.2)	-0.2 (3 / 3.61)	-0.17 (3.46 / 4)	-	-0.04 (6.15 / 6.34)	-0.14 (3.81 / 4.3)
 	Percentile (%)	47.426	60.755	79.263	-	49.296	70.501
UDP-glucosyltransferase activity	FC (WS / NS)	-0.01 (-11.14 / -11.2)	-0.17 (4 / 4.61)	-1 (0 / 1)	-	-0.04 (6.15 / 6.34)	-0.19 (3.91 / 4.61)
 	Percentile (%)	47.498	59.745	90.455	-	49.39	73.484
polyol transmembrane transporter activity	FC (WS / NS)	-0.01 (-8.39 / -8.45)	-0.16 (3.91 / 4.49)	0.01 (7.73 / 7.67)	-	0.86 (0.81 / 0)	0.68 (3 / 1.49)
 	Percentile (%)	47.571	59.668	48.707	-	9.24	9.95
glycerol-3-phosphate-transporting ATPase activity	FC (WS / NS)	-0.01 (-8.39 / -8.45)	-	0.02 (5.93 / 5.86)	-	0.42 (4.57 / 3.17)	0.28 (5.98 / 4.76)
 	Percentile (%)	47.643	-	47.105	-	11.914	20.501
alcohol transmembrane transporter activity	FC (WS / NS)	-0.01 (-8.39 / -8.45)	-0.23 (2.32 / 2.91)	0.02 (8.19 / 8.09)	-	-	-
 	Percentile (%)	47.716	61.64	46.738	-	-	-
glucosyltransferase activity	FC (WS / NS)	-0.01 (-9.55 / -9.62)	-0.08 (5.29 / 5.63)	0.04 (7.12 / 6.91)	0.63 (6.87 / 4.09)	-0.01 (7.3 / 7.34)	-0.14 (4.86 / 5.46)
 	Percentile (%)	48.368	56.748	40.902	10.73	44.606	70.551
ribulose-phosphate 3-epimerase activity	FC (WS / NS)	-0.01 (-8.01 / -8.07)	-1.32 (0 / 1.49)	-0.04 (3.58 / 3.7)	-	-0.6 (5.3 / 8.55)	0.06 (4 / 3.81)
 	Percentile (%)	48.513	83.305	72.465	-	78.096	46.04
organic anion transmembrane transporter activity	FC (WS / NS)	-0.01 (-7.39 / -7.45)	0 (6.58 / 6.61)	-0.2 (10.3 / 11.97)	0.03 (8.95 / 8.71)	-0.52 (6.15 / 9.27)	0.05 (7.5 / 7.19)
 	Percentile (%)	48.586	52.415	80.43	44.73	77.251	47.068
glycerol-3-phosphate transmembrane transporter activity	FC (WS / NS)	-0.01 (-7.39 / -7.45)	-1.69 (0 / 2.23)	-0.01 (7.55 / 7.6)	-	0.42 (4.57 / 3.17)	0.17 (6.02 / 5.26)
 	Percentile (%)	48.658	88.321	67.498	-	11.867	27.569
organophosphate ester transmembrane transporter activity	FC (WS / NS)	-0.01 (-7.39 / -7.45)	-1.69 (0 / 2.23)	-0.01 (7.55 / 7.61)	-	0.42 (4.57 / 3.17)	0.17 (6.02 / 5.26)
 	Percentile (%)	48.731	88.383	67.727	-	11.961	27.594
carbohydrate derivative transmembrane transporter activity	FC (WS / NS)	-0.01 (-7.39 / -7.45)	-0.15 (3.91 / 4.43)	-0.13 (7.59 / 8.4)	-0.94 (3.32 / 7.29)	-0.86 (4.57 / 9.13)	0.03 (6.07 / 5.91)
 	Percentile (%)	49.021	59.077	77.958	84.159	80.582	50.677
organic hydroxy compound transmembrane transporter activity	FC (WS / NS)	-0.01 (-6.81 / -6.86)	-0.14 (4.64 / 5.23)	0.02 (9.86 / 9.74)	-	0.86 (0.81 / 0)	0.29 (4.17 / 3.23)
 	Percentile (%)	49.094	58.969	46.967	-	9.615	19.925
cob(I)yrinic acid a,c-diamide adenosyltransferase activity	FC (WS / NS)	-0.01 (-7.66 / -7.72)	-	0.23 (3.46 / 2.81)	-	-1.14 (0.81 / 3)	0.14 (5.78 / 5.15)
 	Percentile (%)	49.166	-	23.026	-	81.942	34.912
carbon-monoxide dehydrogenase (acceptor) activity	FC (WS / NS)	-0.02 (-9.81 / -9.9)	-	0.23 (8.82 / 7.39)	2.55 (4.86 / 0)	-	1.07 (5.09 / 1.91)
 	Percentile (%)	49.239	-	23.049	0.794	-	7.193
2 iron, 2 sulfur cluster binding	FC (WS / NS)	-0.02 (-9.81 / -9.9)	-1.49 (1 / 4.61)	0.01 (12.13 / 12.01)	-	-0.01 (9.93 / 9.96)	0.01 (7.54 / 7.48)
 	Percentile (%)	49.311	85.137	47.631	-	44.371	55.915
mRNA binding	FC (WS / NS)	-0.02 (-3.8 / -3.83)	-0.17 (8.18 / 9.33)	-0.03 (7.43 / 7.58)	-0.08 (9.31 / 9.88)	0.09 (15.03 / 14.05)	-0.03 (7.67 / 7.85)
 	Percentile (%)	49.384	60.009	71.435	59.143	24.812	62.732
protein binding	FC (WS / NS)	-0.02 (-7.54 / -7.63)	0.06 (11.79 / 11.31)	-0.71 (2 / 3.91)	0.03 (14.21 / 13.9)	0.05 (20.7 / 19.89)	0.05 (11.46 / 11.01)
 	Percentile (%)	49.456	39.276	87.205	45.333	29.597	47.043
arginine binding	FC (WS / NS)	-0.02 (-7.05 / -7.13)	-0.93 (0 / 0.91)	0.4 (4.7 / 3.32)	0.3 (4.91 / 3.81)	0.01 (7.04 / 6.97)	0.37 (4.95 / 3.61)
 	Percentile (%)	49.674	77.357	16.938	18.032	38.649	17.268
oxidoreductase activity, acting on other nitrogenous compounds as donors	FC (WS / NS)	-0.02 (-7.36 / -7.46)	-0.5 (5.88 / 8.71)	-0.02 (11.62 / 11.77)	-0.11 (7.96 / 8.69)	-0.04 (11.62 / 12)	0.07 (7.94 / 7.53)
 	Percentile (%)	49.891	68.178	69.467	63.587	51.97	44.211
lysine-tRNA ligase activity	FC (WS / NS)	-0.03 (-9.22 / -9.41)	-0.13 (6.58 / 7.27)	-0.12 (6.81 / 7.49)	-0.1 (6.89 / 7.43)	0.01 (13.04 / 12.93)	-0.08 (7.2 / 7.68)
 	Percentile (%)	50.181	58.534	77.592	61.556	39.071	66.842
protein methyltransferase activity	FC (WS / NS)	-0.04 (-8.21 / -8.42)	0.39 (3.58 / 2.49)	0.16 (6.79 / 5.98)	-	0.01 (8.62 / 8.52)	0.14 (4.58 / 4.08)
 	Percentile (%)	50.689	18.077	26.642	-	38.555	35.063
sugar transmembrane transporter activity	FC (WS / NS)	-0.05 (-5.85 / -6.01)	0.08 (9.58 / 9.01)	0.04 (13.41 / 12.98)	0.09 (7.34 / 6.85)	-0.01 (7.81 / 7.85)	-0.08 (7.01 / 7.46)
 	Percentile (%)	51.051	35.875	39.918	34.73	44.794	66.491
methyltransferase activity	FC (WS / NS)	-0.05 (-4.73 / -4.86)	0.22 (9.39 / 7.92)	0.03 (14.94 / 14.58)	0.14 (9.81 / 8.83)	-0.1 (12.92 / 13.92)	0.06 (9.41 / 8.96)
 	Percentile (%)	51.269	22.985	41.863	27.651	59.006	44.712
lipid binding	FC (WS / NS)	-0.05 (-10.19 / -10.51)	-0.04 (7.17 / 7.39)	0.02 (10.71 / 10.57)	0.08 (7.5 / 7.07)	-0.15 (11.07 / 12.39)	0.15 (7.15 / 6.36)
 	Percentile (%)	51.487	54.993	46.532	36.54	63.743	30
efflux transmembrane transporter activity	FC (WS / NS)	-0.05 (-10.19 / -10.51)	-1.54 (0 / 1.91)	-	-	0.05 (9.92 / 9.55)	0.1 (6.79 / 6.26)
 	Percentile (%)	51.559	86.131	-	-	30.113	38.496
phosphoric diester hydrolase activity	FC (WS / NS)	-0.05 (-6.1 / -6.28)	-0.34 (5.52 / 7.26)	-0.09 (10.47 / 11.17)	-0.33 (6.04 / 7.83)	-2.33 (0.81 / 8.11)	-0.36 (5.91 / 7.88)
 	Percentile (%)	51.632	65.01	75.647	74.571	86.538	81.378
oxidoreductase activity, acting on hydrogen as donor	FC (WS / NS)	-0.06 (-5.99 / -6.19)	1.37 (1.58 / 0)	0.12 (11.05 / 10.08)	0.14 (8.67 / 7.77)	-0.13 (10.74 / 11.89)	0.13 (7.71 / 6.97)
 	Percentile (%)	51.849	5.7	29.595	27.175	62.899	35.739
adenosylhomocysteinase activity	FC (WS / NS)	-0.06 (-7.98 / -8.26)	-	0.72 (4.46 / 2.32)	0.71 (4.86 / 2.58)	0.14 (7.98 / 7.17)	0.77 (4.95 / 2.49)
 	Percentile (%)	51.922	-	13.71	9.841	20.075	8.797
phosphoric ester hydrolase activity	FC (WS / NS)	-0.06 (-5.04 / -5.2)	-0.07 (8.79 / 9.29)	-0.02 (13.8 / 14.01)	-0.09 (8.89 / 9.54)	-0.7 (6.35 / 10.96)	-0.14 (7.97 / 8.91)
 	Percentile (%)	51.994	56.608	70.359	60.984	79.55	70.652
nucleotidyltransferase activity	FC (WS / NS)	-0.06 (-1.58 / -1.6)	0.02 (11.03 / 10.88)	0 (16.57 / 16.57)	0.02 (11.32 / 11.16)	0 (19.77 / 19.82)	0.01 (10.82 / 10.75)
 	Percentile (%)	52.067	44.634	65.141	47.937	43.762	56.291
precorrin-6Y C5,15-methyltransferase (decarboxylating) activity	FC (WS / NS)	-0.06 (-6.21 / -6.42)	-	0.37 (4.58 / 3.32)	-	0.14 (5.4 / 4.81)	0.51 (3.58 / 2.23)
 	Percentile (%)	52.139	-	17.967	-	19.981	12.882
trialkylsulfonium hydrolase activity	FC (WS / NS)	-0.06 (-7.66 / -7.94)	-	0.58 (5.46 / 3.32)	0.58 (5.86 / 3.58)	0.14 (7.98 / 7.17)	0.77 (4.95 / 2.49)
 	Percentile (%)	52.212	-	14.74	11.524	20.169	8.872
hydrolase activity, acting on ether bonds	FC (WS / NS)	-0.06 (-7.4 / -7.68)	-	0.62 (7.16 / 4.32)	0.53 (6.44 / 4.17)	0.14 (7.98 / 7.17)	0.77 (4.95 / 2.49)
 	Percentile (%)	52.647	-	14.305	12.032	20.122	8.847
S-adenosylmethionine-dependent methyltransferase activity	FC (WS / NS)	-0.06 (-5.88 / -6.1)	0.3 (8.4 / 6.62)	0.06 (12.69 / 12.14)	0.29 (8.7 / 6.95)	-0.29 (6.47 / 8.11)	0.1 (7.75 / 7.13)
 	Percentile (%)	52.719	20.453	36.805	18.698	68.902	38.145
sirohydrochlorin cobaltochelatase activity	FC (WS / NS)	-0.06 (-4.66 / -4.82)	0.14 (5.91 / 5.26)	0.14 (5.91 / 5.29)	-	0.05 (9.42 / 9.08)	0.15 (6.02 / 5.33)
 	Percentile (%)	53.082	33.08	28.725	-	30.441	29.023
ribonuclease activity	FC (WS / NS)	-0.06 (-8.24 / -8.57)	-0.11 (8.63 / 9.4)	-0.1 (11.06 / 11.92)	0.09 (9.21 / 8.59)	0.11 (14.85 / 13.73)	0.13 (8.51 / 7.71)
 	Percentile (%)	53.227	57.851	76.608	34.063	23.499	35.815
4 iron, 4 sulfur cluster binding	FC (WS / NS)	-0.07 (-5.84 / -6.08)	0.15 (7.61 / 6.78)	0.02 (14.73 / 14.55)	-0.08 (10.61 / 11.3)	-0.12 (18.1 / 19.72)	-0.13 (9.97 / 11)
 	Percentile (%)	53.517	25.144	46.715	59.683	60.976	70.125
precorrin-6A reductase activity	FC (WS / NS)	-0.07 (-7.28 / -7.6)	-	0.56 (2.81 / 1.58)	-	0.22 (4.81 / 4)	0.35 (3.46 / 2.49)
 	Percentile (%)	53.807	-	14.992	-	15.713	17.719
hydroxylamine reductase activity	FC (WS / NS)	-0.07 (-10.71 / -11.23)	1.51 (1.58 / -0.09)	0.32 (6.3 / 4.86)	0.2 (5.81 / 4.91)	0.69 (7.06 / 4)	0.21 (5.88 / 4.95)
 	Percentile (%)	54.46	5.203	19.364	23.556	10.038	24.336
UTP:glucose-1-phosphate uridylyltransferase activity	FC (WS / NS)	-0.08 (-6.24 / -6.52)	0.3 (5.13 / 3.99)	0.28 (5.29 / 4.17)	0.37 (5.55 / 4.09)	0.11 (9.66 / 8.85)	0.33 (6.02 / 4.61)
 	Percentile (%)	54.605	20.624	20.6	15.524	22.467	18.396
phosphotransferase activity, nitrogenous group as acceptor	FC (WS / NS)	-0.08 (-5.23 / -5.47)	0.22 (8.31 / 6.97)	0.05 (13.22 / 12.75)	0.22 (8.68 / 7.31)	0.04 (14.75 / 14.29)	0.04 (8.37 / 8.09)
 	Percentile (%)	54.822	22.876	38.865	22.444	31.848	48.747
UTP-monosaccharide-1-phosphate uridylyltransferase activity	FC (WS / NS)	-0.08 (-5.91 / -6.2)	0.25 (6.13 / 4.99)	0.24 (6.29 / 5.17)	0.31 (6.55 / 5.09)	0.11 (9.66 / 8.85)	0.33 (6.02 / 4.61)
 	Percentile (%)	54.895	22.069	22.179	17.365	22.561	18.421
protein serine/threonine kinase activity	FC (WS / NS)	-0.08 (-9.7 / -10.22)	0.45 (5.13 / 3.49)	0.03 (11 / 10.77)	0.26 (6.02 / 4.86)	0.1 (10.81 / 10)	0.05 (6.79 / 6.53)
 	Percentile (%)	55.257	16.462	42.733	19.429	23.921	47.619
metallopeptidase activity	FC (WS / NS)	-0.09 (-5.57 / -5.86)	0.07 (7.97 / 7.57)	0.01 (14.39 / 14.23)	0 (10.15 / 10.19)	-0.06 (15.19 / 15.84)	0.02 (9.69 / 9.55)
 	Percentile (%)	55.547	37.941	47.242	52.603	55.113	54.211
7S RNA binding	FC (WS / NS)	-0.09 (-10.26 / -10.87)	-	0.4 (5.73 / 4.09)	-	0.32 (9.23 / 7.17)	0.2 (5.91 / 4.99)
 	Percentile (%)	56.128	-	16.892	-	13.039	24.486
pyruvate kinase activity	FC (WS / NS)	-0.09 (-7.54 / -7.99)	-0.33 (4.81 / 6.31)	0.21 (9.48 / 8.06)	0.19 (8.38 / 7.21)	0.14 (17.66 / 15.93)	0.22 (8.8 / 7.41)
 	Percentile (%)	56.273	64.886	23.941	24.19	19.841	23.609
potassium ion binding	FC (WS / NS)	-0.09 (-7.54 / -7.99)	-1.69 (0 / 2.23)	0.15 (10.07 / 8.97)	0.13 (8.46 / 7.67)	0.14 (17.66 / 15.93)	0.16 (8.8 / 7.76)
 	Percentile (%)	56.345	88.476	27.604	29.016	19.887	27.719
endoribonuclease activity	FC (WS / NS)	-0.1 (-10.65 / -11.36)	0.63 (4.39 / 2.49)	0.07 (6.74 / 6.39)	0.24 (7.51 / 6.23)	0.1 (14.21 / 13.18)	0.16 (7.85 / 6.95)
 	Percentile (%)	57.07	14.707	35.18	21.46	24.156	28.421
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	FC (WS / NS)	-0.1 (-10.65 / -11.36)	-2.08 (0 / 3.23)	-0.17 (3.58 / 4.17)	-1.2 (1 / 3.58)	-2.81 (0 / 6)	-1.17 (1 / 3.49)
 	Percentile (%)	57.143	91.412	79.515	86.54	89.447	94.311
carbohydrate:proton symporter activity	FC (WS / NS)	-0.1 (-6.75 / -7.18)	0.51 (5 / 3.23)	0.07 (12.85 / 12.2)	0.35 (5.39 / 4)	-	0.48 (5.55 / 3.71)
 	Percentile (%)	57.433	15.686	34.791	15.778	-	13.709
phosphoenolpyruvate-protein phosphotransferase activity	FC (WS / NS)	-0.1 (-6.75 / -7.18)	0.26 (7.29 / 5.91)	0.09 (10.36 / 9.65)	0.26 (7.26 / 5.91)	0.04 (14.74 / 14.29)	0.28 (7.56 / 6.08)
 	Percentile (%)	57.578	21.587	32.685	19.651	31.942	20.551
alkali metal ion binding	FC (WS / NS)	-0.11 (-6.54 / -6.99)	-1.39 (1 / 4.23)	0.13 (11.48 / 10.4)	0.11 (9.46 / 8.68)	0.14 (17.66 / 15.93)	0.16 (8.8 / 7.76)
 	Percentile (%)	57.941	84.889	28.977	30.635	19.934	27.744
cyclic-nucleotide phosphodiesterase activity	FC (WS / NS)	-0.11 (-9.65 / -10.36)	-2.39 (0 / 4.23)	-0.04 (5.91 / 6.09)	-0.9 (2 / 4.58)	-3.11 (-0.19 / 6)	-0.47 (2.32 / 3.61)
 	Percentile (%)	58.086	93.213	72.671	83.492	92.683	83.709
hydroxymethyl-, formyl- and related transferase activity	FC (WS / NS)	-0.12 (-5.49 / -5.87)	-0.12 (4.52 / 4.99)	-0.07 (10.35 / 10.89)	-0.1 (7.71 / 8.31)	-0.01 (11.94 / 12.06)	0.02 (7.65 / 7.56)
 	Percentile (%)	58.158	58.146	74.617	61.81	46.154	54.787
carboxy-lyase activity	FC (WS / NS)	-0.12 (-0.55 / -0.51)	-0.11 (9.15 / 9.97)	-0.04 (14.33 / 14.75)	-0.11 (10.38 / 11.25)	-0.16 (14.13 / 15.96)	-0.13 (9.67 / 10.7)
 	Percentile (%)	58.448	57.975	72.763	63.016	64.54	70.301
transferase activity, transferring one-carbon groups	FC (WS / NS)	-0.12 (-1.48 / -1.53)	0.14 (9.79 / 8.81)	0 (16.41 / 16.4)	0.04 (10.59 / 10.31)	-0.06 (14.01 / 14.69)	0.03 (10.48 / 10.24)
 	Percentile (%)	58.521	33.157	52.667	44.635	56.098	51.178
carbohydrate:cation symporter activity	FC (WS / NS)	-0.12 (-5.75 / -6.18)	0.4 (6 / 4.3)	0.07 (13.85 / 13.2)	0.3 (6.39 / 5)	-	0.45 (5.58 / 3.81)
 	Percentile (%)	58.666	17.705	35.386	17.905	-	14.286
solute:proton symporter activity	FC (WS / NS)	-0.12 (-5.75 / -6.18)	0.42 (6 / 4.23)	0.07 (13.85 / 13.2)	0.3 (6.39 / 5)	-	0.45 (5.58 / 3.81)
 	Percentile (%)	58.738	17.347	35.409	17.937	-	14.311
racemase and epimerase activity, acting on carbohydrates and derivatives	FC (WS / NS)	-0.13 (-5.83 / -6.27)	0.22 (7.29 / 6.13)	0 (11.21 / 11.19)	1.37 (4.17 / 1)	-0.07 (11.09 / 11.7)	0.09 (7.73 / 7.22)
 	Percentile (%)	58.811	23.264	52.369	5.524	56.707	39.524
UDP-N-acetylmuramate-L-alanine ligase activity	FC (WS / NS)	-0.13 (-7.72 / -8.34)	0.21 (6.13 / 5.15)	0.1 (5.86 / 5.39)	0.14 (6.09 / 5.43)	0.36 (9.99 / 7.56)	0.15 (6.32 / 5.61)
 	Percentile (%)	59.101	23.373	31.54	27.111	12.852	29.098
acetyl-CoA hydrolase activity	FC (WS / NS)	-0.13 (-6.08 / -6.56)	-	0.26 (7.85 / 6.39)	-	-	0.15 (6.21 / 5.49)
 	Percentile (%)	59.173	-	21.584	-	-	28.947
ferredoxin hydrogenase activity	FC (WS / NS)	-0.13 (-7.76 / -8.39)	0 (0 / 0)	0.17 (9.07 / 7.98)	0.17 (7.09 / 6.19)	-0.13 (10.74 / 11.85)	0.18 (7.15 / 6.19)
 	Percentile (%)	59.246	47.632	26.368	25.365	62.101	26.742
oxidoreductase activity, acting on iron-sulfur proteins as donors	FC (WS / NS)	-0.13 (-7.76 / -8.39)	0 (0 / 0)	0.12 (10.72 / 9.76)	0.44 (6.6 / 4.58)	-0.73 (0.81 / 2)	0.45 (4.09 / 2.71)
 	Percentile (%)	59.318	48.346	29.503	13.206	79.784	14.261
single-stranded DNA binding	FC (WS / NS)	-0.13 (-5.51 / -5.94)	-0.01 (6.3 / 6.35)	-0.02 (8.24 / 8.37)	-	0.17 (12.28 / 10.83)	-0.03 (6.92 / 7.07)
 	Percentile (%)	59.391	52.757	70.108	-	18.011	62.18
serine-tRNA ligase activity	FC (WS / NS)	-0.13 (-5.32 / -5.73)	0.02 (6.7 / 6.62)	0 (6.77 / 6.74)	-	-0.11 (11.36 / 12.32)	0.01 (7.17 / 7.1)
 	Percentile (%)	59.463	44.805	51.133	-	59.803	55.439
acyl carrier activity	FC (WS / NS)	-0.13 (-7.2 / -7.79)	-0.51 (3.58 / 5.52)	-0.06 (5.73 / 6.02)	-	-0.08 (2.4 / 2.58)	-0.01 (6 / 6.03)
 	Percentile (%)	59.536	68.473	74.296	-	56.989	59.774
