"eggNOG"	"MEGAN"	"metaGOmics"	"MPA"	"Unipept"	"Prophane"
"42"	"ATP-dependent Clp protease ATP-binding subunit"	"Transcriptional regulator, GntR family"	"alpha,alpha-phosphotrehalase activity"	"30S ribosomal protein S5"	"teichoic acid biosynthetic process"	"UDP-N-acetylglucosamine 1-carboxyvinyltransferase activity; transferase activity, transferring alkyl or aryl (other than methyl) groups; peptidoglycan metabolic process; catalytic activity; intracellular; cell; cytoplasm; aminoglycan metabolic process; aminoglycan biosynthetic process; glycosaminoglycan biosynthetic process; amino sugar metabolic process; nucleobase-containing compound metabolic process; cellular aromatic compound metabolic process; nucleoside phosphate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; cell cycle; metabolic process; regulation of cell shape; biosynthetic process; macromolecule biosynthetic process; nucleotide metabolic process; nucleotide biosynthetic process; nucleotide-sugar metabolic process; nucleotide-sugar biosynthetic process; peptidoglycan biosynthetic process; peptidoglycan-based cell wall biogenesis; cellular process; transferase activity; heterocycle biosynthetic process; UDP-N-acetylgalactosamine metabolic process; UDP-N-acetylgalactosamine biosynthetic process; aromatic compound biosynthetic process; organophosphate metabolic process; regulation of anatomical structure morphogenesis; regulation of cell morphogenesis; glycosaminoglycan metabolic process; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound biosynthetic process; cell wall biogenesis; macromolecule metabolic process; cell wall macromolecule metabolic process; cell wall macromolecule biosynthetic process; cellular component biogenesis; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; intracellular part; cell part; NA; NA; NA; amino sugar biosynthetic process; heterocycle metabolic process; regulation of biological process; regulation of developmental process; regulation of cellular process; regulation of cellular component organization; cell division; nucleobase-containing small molecule metabolic process; biological regulation; regulation of biological quality; cellular component macromolecule biosynthetic process; cell wall organization or biogenesis; organic substance metabolic process; cellular component organization or biogenesis; organophosphate biosynthetic process; carbohydrate derivative metabolic process; carbohydrate derivative biosynthetic process; nucleoside phosphate biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; organonitrogen compound metabolic process; organonitrogen compound biosynthetic process; organic substance biosynthetic process"
"43"	"Pyruvate kinase"	"Transcriptional regulator"	"3-dehydroquinate synthase activity"	"Chaperone protein DnaK"	"lactose catabolic process"	"nucleotidyltransferase activity; nucleotide binding; polysaccharide biosynthetic process; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; carbohydrate metabolic process; polysaccharide metabolic process; glycogen metabolic process; glycogen biosynthetic process; cellular glucan metabolic process; generation of precursor metabolites and energy; energy reserve metabolic process; metabolic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; macromolecule biosynthetic process; glucan biosynthetic process; cellular process; energy derivation by oxidation of organic compounds; carbohydrate biosynthetic process; transferase activity; transferase activity, transferring phosphorus-containing groups; purine nucleotide binding; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; cellular polysaccharide biosynthetic process; cellular carbohydrate biosynthetic process; cellular macromolecule biosynthetic process; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; macromolecule metabolic process; glucan metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular carbohydrate metabolic process; cellular polysaccharide metabolic process; NA; NA; oxidation-reduction process; adenylyltransferase activity; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
"44"	"Muramidase-released protein"	"Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA (By similarity)"	"rRNA 5'-end processing"	"Chaperone protein DnaK"	"mediator complex"	"carboxyl- or carbamoyltransferase activity; catalytic activity; aspartate carbamoyltransferase activity; ornithine carbamoyltransferase activity; binding; organic acid metabolic process; nucleobase-containing compound metabolic process; pyrimidine nucleobase metabolic process; 'de novo' pyrimidine nucleobase biosynthetic process; cellular amino acid metabolic process; ornithine metabolic process; cellular aromatic compound metabolic process; nitrogen compound metabolic process; metabolic process; biosynthetic process; nucleobase metabolic process; cellular process; amino acid binding; transferase activity; transferase activity, transferring one-carbon groups; heterocycle biosynthetic process; carboxylic acid metabolic process; pyrimidine nucleobase biosynthetic process; carboxylic acid binding; cellular nitrogen compound metabolic process; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; NA; nucleobase biosynthetic process; heterocycle metabolic process; nucleobase-containing small molecule metabolic process; organic substance metabolic process; pyrimidine-containing compound metabolic process; pyrimidine-containing compound biosynthetic process; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; organonitrogen compound metabolic process; organonitrogen compound biosynthetic process; organic substance biosynthetic process; alpha-amino acid metabolic process"
"45"	"carbon-monoxide dehydrogenase, catalytic subunit"	"Carboxypeptidase"	"RNA 5'-end processing"	"Chaperone protein DnaK"	"small ribosomal subunit rRNA binding"	"gluconeogenesis; transferase activity, transferring phosphorus-containing groups; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; carbohydrate metabolic process; monosaccharide metabolic process; glucose metabolic process; organic acid metabolic process; pyruvate metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; pyruvate, water dikinase activity; biosynthetic process; cellular process; carbohydrate biosynthetic process; kinase activity; phosphorylation; transferase activity; phosphotransferase activity, paired acceptors; purine nucleotide binding; hexose metabolic process; hexose biosynthetic process; carboxylic acid metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; monocarboxylic acid metabolic process; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cation binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; small molecule metabolic process; NA; NA; monosaccharide biosynthetic process; metal ion binding; pyruvate, phosphate dikinase activity; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
"46"	"Glycosyl hydrolase family 70"	"phosphatidylethanolamine N-methyltransferase"	"ncRNA 5'-end processing"	"Chaperone protein DnaK"	"ATP-dependent RNA helicase activity"	"catalytic activity; alcohol dehydrogenase (NAD) activity; binding; metabolic process; zinc ion binding; oxidoreductase activity; oxidoreductase activity, acting on CH-OH group of donors; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; ion binding; cation binding; NA; metal ion binding; transition metal ion binding; cofactor binding; oxidation-reduction process"
"47"	"Cell division protein DIVIVA"	"5-enolpyruvylshikimate-3-phosphate phospholyase"	"phospho-N-acetylmuramoyl-pentapeptide-transferase activity"	"Molecular chaperone DnaK"	"dihydroxy-acid dehydratase activity"	"catalytic activity; ornithine carbamoyltransferase activity; binding; intracellular; cell; cytoplasm; organic acid metabolic process; cellular amino acid metabolic process; arginine metabolic process; arginine biosynthetic process; arginine catabolic process; ornithine metabolic process; nitrogen compound metabolic process; metabolic process; cellular amino acid biosynthetic process; catabolic process; biosynthetic process; cellular amino acid catabolic process; glutamine family amino acid metabolic process; glutamine family amino acid catabolic process; glutamine family amino acid biosynthetic process; cellular process; organic acid biosynthetic process; organic acid catabolic process; amino acid binding; transferase activity; transferase activity, transferring one-carbon groups; carboxyl- or carbamoyltransferase activity; arginine deiminase pathway; arginine catabolic process to ornithine; carboxylic acid metabolic process; carboxylic acid binding; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; small molecule metabolic process; small molecule catabolic process; small molecule biosynthetic process; intracellular part; cell part; NA; NA; NA; carboxylic acid biosynthetic process; carboxylic acid catabolic process; organic substance metabolic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid catabolic process; alpha-amino acid biosynthetic process"
"48"	"Aminopeptidase"	"Dihydroxy-acid dehydratase"	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase activity"	"Chaperone protein DnaK"	"UDP-4-amino-4-deoxy-L-arabinose aminotransferase"	"nucleotidyltransferase activity; nucleotide binding; polysaccharide biosynthetic process; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; carbohydrate metabolic process; polysaccharide metabolic process; glycogen metabolic process; glycogen biosynthetic process; cellular glucan metabolic process; generation of precursor metabolites and energy; energy reserve metabolic process; metabolic process; glucose-1-phosphate adenylyltransferase activity; biosynthetic process; macromolecule biosynthetic process; glucan biosynthetic process; cellular process; energy derivation by oxidation of organic compounds; carbohydrate biosynthetic process; transferase activity; transferase activity, transferring phosphorus-containing groups; purine nucleotide binding; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; cellular polysaccharide biosynthetic process; cellular carbohydrate biosynthetic process; cellular macromolecule biosynthetic process; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; macromolecule metabolic process; glucan metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular carbohydrate metabolic process; cellular polysaccharide metabolic process; NA; NA; oxidation-reduction process; adenylyltransferase activity; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
"49"	"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)"	"Type I DHQase"	"disaccharide metabolic process"	"Chaperone protein DnaK"	"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity"	"translation initiation factor activity; nucleic acid binding; RNA binding; binding; intracellular; cell; cytoplasm; translation; translational initiation; translation factor activity, RNA binding; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; cellular macromolecule biosynthetic process; macromolecule metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"50"	"Converts 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate into isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) (By similarity)"	"Removes N-terminal dipeptides sequentially from polypeptides having unsubstituted N-termini provided that the penultimate residue is proline (By similarity)"	"polysaccharide transmembrane transporter activity"	"Chaperone protein DnaK"	"pyruvate carboxylase activity"	"organellar small ribosomal subunit; structural constituent of ribosome; structural molecule activity; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; protein metabolic process; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; intracellular part; cytoplasmic part; cell part; organic substance metabolic process; organic substance biosynthetic process"
"51"	"Receptor family ligand-binding"	"hydroxymethylglutaryl-CoA synthase activity"	"sucrose phosphorylase activity"	"Chaperone protein DnaK"	"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor"	"ornithine carbamoyltransferase activity; carboxyl- or carbamoyltransferase activity; catalytic activity; binding; intracellular; cell; cytoplasm; organic acid metabolic process; cellular amino acid metabolic process; arginine metabolic process; arginine biosynthetic process; arginine catabolic process; ornithine metabolic process; nitrogen compound metabolic process; metabolic process; cellular amino acid biosynthetic process; catabolic process; biosynthetic process; cellular amino acid catabolic process; glutamine family amino acid metabolic process; glutamine family amino acid catabolic process; glutamine family amino acid biosynthetic process; cellular process; organic acid biosynthetic process; organic acid catabolic process; amino acid binding; transferase activity; transferase activity, transferring one-carbon groups; arginine deiminase pathway; arginine catabolic process to ornithine; carboxylic acid metabolic process; carboxylic acid binding; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; small molecule metabolic process; small molecule catabolic process; small molecule biosynthetic process; intracellular part; cell part; NA; NA; NA; carboxylic acid biosynthetic process; carboxylic acid catabolic process; organic substance metabolic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid catabolic process; alpha-amino acid biosynthetic process"
"52"	"Outer membrane protein, OMP85 family"	"Catalyzes the conversion of 4-hydroxy- tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate (By similarity)"	"magnesium-importing ATPase activity"	"ATP synthase subunit beta"	"3-deoxy-7-phosphoheptulonate synthase activity"	"serine-tRNA ligase activity; nucleotide binding; nucleoside binding; purine nucleoside binding; selenium compound metabolic process; catalytic activity; aminoacyl-tRNA ligase activity; binding; ATP binding; intracellular; cell; cytoplasm; organic acid metabolic process; nucleobase-containing compound metabolic process; tRNA metabolic process; translation; tRNA aminoacylation for protein translation; seryl-tRNA aminoacylation; cellular amino acid metabolic process; cellular modified amino acid metabolic process; cellular aromatic compound metabolic process; nitrogen compound metabolic process; metabolic process; cellular amino acid biosynthetic process; biosynthetic process; macromolecule biosynthetic process; serine family amino acid metabolic process; serine family amino acid biosynthetic process; cellular process; gene expression; organic acid biosynthetic process; RNA metabolic process; selenocysteine metabolic process; selenocysteine biosynthetic process; ligase activity; ligase activity, forming carbon-oxygen bonds; NA; purine nucleotide binding; heterocycle biosynthetic process; aromatic compound biosynthetic process; protein metabolic process; carboxylic acid metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; RNA biosynthetic process; cellular nitrogen compound metabolic process; cellular macromolecule biosynthetic process; nucleobase-containing compound biosynthetic process; ncRNA metabolic process; purine ribonucleoside triphosphate binding; small molecule binding; cellular modified amino acid biosynthetic process; amino acid activation; tRNA aminoacylation; ion binding; anion binding; macromolecule metabolic process; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; cellular nitrogen compound biosynthetic process; small molecule metabolic process; small molecule biosynthetic process; intracellular part; cell part; NA; NA; carboxylic acid biosynthetic process; heterocycle metabolic process; organic substance metabolic process; nucleic acid metabolic process; selenocysteinyl-tRNA(Sec) biosynthetic process; organic cyclic compound binding; nucleoside phosphate binding; organic cyclic compound metabolic process; organic cyclic compound biosynthetic process; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound biosynthetic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid biosynthetic process"
"53"	"DNA protection during starvation protein"	"Glucose-6-phosphate 1-dehydrogenase"	"polysaccharide transport"	"ATP synthase subunit beta"	"chorismate metabolic process"	"cytoplasm; catalytic activity; intracellular; cell; carbohydrate metabolic process; metabolic process; formate C-acetyltransferase activity; acetyltransferase activity; C-acyltransferase activity; C-acetyltransferase activity; transferase activity; transferase activity, transferring acyl groups; transferase activity, transferring acyl groups other than amino-acyl groups; lyase activity; primary metabolic process; intracellular part; cell part; organic substance metabolic process"
"54"	"Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post- translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome (By similarity)"	"it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids (By similarity)"	"sucrose metabolic process"	"Glutamine synthetase"	"acetoacetyl-CoA reductase activity"	"arginine deiminase activity; citrulline metabolic process; catalytic activity; intracellular; cell; cytoplasm; organic acid metabolic process; cellular protein modification process; cellular amino acid metabolic process; arginine metabolic process; arginine catabolic process; cellular modified amino acid metabolic process; ornithine metabolic process; nitrogen compound metabolic process; metabolic process; cellular amino acid biosynthetic process; catabolic process; biosynthetic process; cellular amino acid catabolic process; glutamine family amino acid metabolic process; glutamine family amino acid catabolic process; cellular process; organic acid biosynthetic process; organic acid catabolic process; hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines; protein citrullination; peptidyl-amino acid modification; peptidyl-arginine modification; citrulline biosynthetic process; protein metabolic process; arginine catabolic process to ornithine; carboxylic acid metabolic process; protein modification process; cellular modified amino acid biosynthetic process; macromolecule metabolic process; macromolecule modification; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; small molecule metabolic process; small molecule catabolic process; small molecule biosynthetic process; intracellular part; cell part; NA; NA; NA; carboxylic acid biosynthetic process; carboxylic acid catabolic process; organic substance metabolic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid catabolic process; alpha-amino acid biosynthetic process"
"55"	"Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)"	"Catalyzes the 1,3-allylic rearrangement of the homoallylic substrate isopentenyl (IPP) to its allylic isomer, dimethylallyl diphosphate (DMAPP) (By similarity)"	"dextransucrase activity"	"Glutamate-ammonia ligase"	"hydroxymethylglutaryl-CoA synthase activity"	"ethanolamine catabolic process; response to external stimulus; response to stimulus"
"56"	"DNA protection during starvation protein"	"UPF0237 protein"	"teichoic acid metabolic process"	"Chaperone protein DnaK"	"non-membrane spanning protein tyrosine kinase activity"	"ferric iron binding; transition metal ion transport; catalytic activity; ferroxidase activity; binding; iron ion binding; transport; ion transport; cation transport; iron ion transport; cellular ion homeostasis; cellular metal ion homeostasis; cellular iron ion homeostasis; metabolic process; cellular process; oxidoreductase activity; oxidoreductase activity, oxidizing metal ions; oxidoreductase activity, oxidizing metal ions, oxygen as acceptor; cellular homeostasis; metal ion transport; cellular cation homeostasis; homeostatic process; ion binding; cation binding; NA; NA; NA; NA; metal ion binding; transition metal ion binding; cellular transition metal ion homeostasis; chemical homeostasis; ion homeostasis; localization; establishment of localization; metal ion homeostasis; iron ion homeostasis; transition metal ion homeostasis; cation homeostasis; cellular chemical homeostasis; oxidation-reduction process; biological regulation; regulation of biological quality"
"57"	"glutamine synthetase"	"Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS (By similarity)"	"teichoic acid biosynthetic process"	"Glutamine synthetase type I"	"phosphoenolpyruvate carboxylase activity"	"cytoplasm; kinase activity; nucleotide binding; magnesium ion binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; intracellular; cell; organic acid metabolic process; acetyl-CoA metabolic process; acetyl-CoA biosynthetic process; acyl-CoA metabolic process; coenzyme metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; metabolic process; acetate kinase activity; biosynthetic process; coenzyme biosynthetic process; cellular process; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, carboxyl group as acceptor; purine nucleotide binding; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; thioester metabolic process; thioester biosynthetic process; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cation binding; cellular metabolic process; cellular biosynthetic process; small molecule metabolic process; intracellular part; cell part; NA; metal ion binding; cofactor metabolic process; cofactor biosynthetic process; acyl-CoA biosynthetic process; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
"58"	"Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation"	"feS assembly ATPase SufC"	"beta-glucan transmembrane transporter activity"	"Glutamine synthetase, type I"	"branched-chain amino acid transmembrane transporter activity"	"organellar small ribosomal subunit; structural constituent of ribosome; tRNA binding; nucleic acid binding; RNA binding; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; small ribosomal subunit; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; ribosomal subunit; organelle part; intracellular part; cytoplasmic part; intracellular organelle part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"59"	"Cobalamin B12-binding domain protein"	"endothelin-converting enzyme"	"glucan 1,6-alpha-glucosidase activity"	"Ribosome hibernation promoting factor"	"RNA polymerase II transcription cofactor activity"	"organellar large ribosomal subunit; structural constituent of ribosome"
"60"	"Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity)"	"threonine synthase"	"beta-glucan-transporting ATPase activity"	"Formate acetyltransferase"	"regulation of translational termination"	"organellar small ribosomal subunit; structural constituent of ribosome; tRNA binding; nucleic acid binding; RNA binding; structural molecule activity; binding; intracellular; cell; cytoplasm; ribosome; translation; metabolic process; biosynthetic process; macromolecule biosynthetic process; cellular process; gene expression; small ribosomal subunit; protein metabolic process; rRNA binding; NA; protein-containing complex; cellular macromolecule biosynthetic process; macromolecule metabolic process; organelle; non-membrane-bounded organelle; intracellular organelle; intracellular non-membrane-bounded organelle; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; ribosomal subunit; organelle part; intracellular part; cytoplasmic part; intracellular organelle part; cell part; organic substance metabolic process; organic cyclic compound binding; heterocyclic compound binding; organic substance biosynthetic process"
"61"	"Pyruvate kinase"	"Modulates transcription in response to changes in cellular NADH NAD( ) redox state (By similarity)"	"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity"	"Glutamine synthetase"	"[formate-C-acetyltransferase]-activating enzyme activity"	"nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; acetyl-CoA carboxylase activity; biotin carboxylase activity; binding; ATP binding; intracellular; cell; cytoplasm; organic acid metabolic process; lipid metabolic process; fatty acid metabolic process; fatty acid biosynthetic process; transport; ion transport; cation transport; sodium ion transport; metabolic process; lipid biosynthetic process; oxaloacetate decarboxylase activity; biosynthetic process; acetyl-CoA carboxylase complex; cellular process; monovalent inorganic cation transport; organic acid biosynthetic process; CoA carboxylase activity; lyase activity; carbon-carbon lyase activity; carboxy-lyase activity; ligase activity; ligase activity, forming carbon-nitrogen bonds; ligase activity, forming carbon-carbon bonds; purine nucleotide binding; carboxylic acid metabolic process; metal ion transport; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; monocarboxylic acid metabolic process; protein-containing complex; purine ribonucleoside triphosphate binding; small molecule binding; ion binding; anion binding; cation binding; NA; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular biosynthetic process; cellular lipid metabolic process; small molecule metabolic process; small molecule biosynthetic process; intracellular part; cytoplasmic part; cell part; NA; NA; NA; NA; carboxylic acid biosynthetic process; metal ion binding; localization; establishment of localization; organic substance metabolic process; monocarboxylic acid biosynthetic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organic substance biosynthetic process"
"62"	"Pfam:YadA"	"Nucleic-acid-binding protein implicated in transcription termination"	"beta-glucan transport"	"ATP-dependent 6-phosphofructokinase"	"transcription coactivator activity"	"GTP binding"
"63"	"acetolactate synthase"	"U mismatch-specific DNA glycosylase"	"L-amino-acid alpha-ligase activity"	"Putative ATP-dependent Clp protease ATP-binding subunit"	"regulation of DNA repair"	"cellular amino acid metabolic process; nucleotide binding; nucleoside binding; purine nucleoside binding; catalytic activity; binding; ATP binding; intracellular; cell; cytoplasm; organic acid metabolic process; arginine metabolic process; phosphorus metabolic process; phosphate-containing compound metabolic process; nitrogen compound metabolic process; metabolic process; cellular amino acid biosynthetic process; carbamate kinase activity; catabolic process; biosynthetic process; glutamine family amino acid metabolic process; cellular process; organic acid biosynthetic process; kinase activity; phosphorylation; transferase activity; transferase activity, transferring phosphorus-containing groups; phosphotransferase activity, carboxyl group as acceptor; purine nucleotide binding; organophosphate metabolic process; carboxylic acid metabolic process; adenyl nucleotide binding; ribonucleoside binding; purine ribonucleoside binding; ribonucleotide binding; purine ribonucleotide binding; adenyl ribonucleotide binding; cellular nitrogen compound metabolic process; purine ribonucleoside triphosphate binding; carbamoyl phosphate catabolic process; small molecule binding; ion binding; anion binding; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular nitrogen compound catabolic process; small molecule metabolic process; small molecule biosynthetic process; intracellular part; cell part; NA; NA; carboxylic acid biosynthetic process; organophosphate catabolic process; carbamoyl phosphate metabolic process; organic substance metabolic process; organic cyclic compound binding; nucleoside phosphate binding; heterocyclic compound binding; organonitrogen compound metabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process"
"64"	"Transcriptional regulatory protein"	"DNA replication protein DnaD"	"3-isopropylmalate dehydratase activity"	"Ribosome hibernation promoting factor"	"tRNA 3'-terminal CCA addition"	"arginine deiminase activity; citrulline metabolic process; catalytic activity; intracellular; cell; cytoplasm; organic acid metabolic process; cellular protein modification process; cellular amino acid metabolic process; arginine metabolic process; arginine catabolic process; cellular modified amino acid metabolic process; ornithine metabolic process; nitrogen compound metabolic process; metabolic process; cellular amino acid biosynthetic process; catabolic process; biosynthetic process; cellular amino acid catabolic process; glutamine family amino acid metabolic process; glutamine family amino acid catabolic process; cellular process; organic acid biosynthetic process; organic acid catabolic process; hydrolase activity; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines; protein citrullination; peptidyl-amino acid modification; peptidyl-arginine modification; citrulline biosynthetic process; protein metabolic process; arginine catabolic process to ornithine; carboxylic acid metabolic process; protein modification process; cellular modified amino acid biosynthetic process; macromolecule metabolic process; macromolecule modification; oxoacid metabolic process; cellular metabolic process; primary metabolic process; cellular catabolic process; cellular biosynthetic process; cellular macromolecule metabolic process; cellular protein metabolic process; small molecule metabolic process; small molecule catabolic process; small molecule biosynthetic process; intracellular part; cell part; NA; NA; NA; carboxylic acid biosynthetic process; carboxylic acid catabolic process; organic substance metabolic process; organonitrogen compound metabolic process; organonitrogen compound catabolic process; organonitrogen compound biosynthetic process; organic substance catabolic process; organic substance biosynthetic process; alpha-amino acid metabolic process; alpha-amino acid catabolic process; alpha-amino acid biosynthetic process"
